row_type,schema_version,timestamp,star_cache_key,rho_c,mu_e,resolution,scf_params_hash,git_commit_scf,git_commit_wd_braithwaite,window_valid,window_lo,window_hi,window_reason,VE,gravity_patch_executable_hash,seed,e_mag_over_w_target,t_ttdyn_measured,E_mag_over_W,E_tor_over_Emag,divB_interior_max,plotfile_path
star,1,2026-07-26T18:12:10.258763+00:00,4a3583f7441b,1000000000.0,2.0,64,75f7e2d9322e,983f5df9733e717013ae44a317ed5dc86897503f,,True,0.4,1.128336973361359,,0.0001100839587088,,,,,,,,
seed,1,2026-07-26T18:12:10.265418+00:00,4a3583f7441b,,,64,,,,,,,,,,42.0,0.15,0.7861619917845847,0.0041675731289221,0.3243210504669525,6.0572347138077e-10,/home/rafael/wd-magnetizada/castro/Exec/science/wd_braithwaite/plt_seed42_repro00070
seed,1,2026-07-26T20:43:47.835662+00:00,4a3583f7441b,,,64,,,,,,,,,,7.0,0.15,1.1059619839804056,0.0024973188429417,0.3241304274345771,6.402842700481415e-10,/home/rafael/wd-magnetizada/castro/Exec/science/wd_braithwaite/plt_seed7_batch00080
seed,1,2026-07-26T20:43:47.975484+00:00,4a3583f7441b,,,64,,,,,,,,,,123.0,0.15,1.09095956840421,0.0023307313268782,0.3696552272951979,6.330083124339581e-10,/home/rafael/wd-magnetizada/castro/Exec/science/wd_braithwaite/plt_seed123_batch00080
seed,1,2026-07-26T20:43:48.116991+00:00,4a3583f7441b,,,64,,,,,,,,,,2024.0,0.15,1.0960225934412915,0.0036997111634585,0.3434501164984786,6.111804395914078e-10,/home/rafael/wd-magnetizada/castro/Exec/science/wd_braithwaite/plt_seed2024_batch00080
seed,1,2026-07-26T20:43:48.264963+00:00,4a3583f7441b,,,64,,,,,,,,,,55.0,0.15,0.8069480505101231,0.0034250565568897,0.3165622640044372,5.83895598538219e-10,/home/rafael/wd-magnetizada/castro/Exec/science/wd_braithwaite/plt_seed55_batch00070
seed,1,2026-07-26T20:43:48.421554+00:00,4a3583f7441b,,,64,,,,,,,,,,99.0,0.15,0.8620033828613021,0.0033165092842363,0.3554668060783408,7.457856554538012e-10,/home/rafael/wd-magnetizada/castro/Exec/science/wd_braithwaite/plt_seed99_batch00070
seed,1,2026-07-26T20:43:48.583085+00:00,4a3583f7441b,,,64,,,,,,,,,,314.0,0.15,0.8124995724497246,0.0029215450877185,0.3564827287100514,8.512870408594601e-10,/home/rafael/wd-magnetizada/castro/Exec/science/wd_braithwaite/plt_seed314_batch00070
seed,1,2026-07-26T20:43:48.744712+00:00,4a3583f7441b,,,64,,,,,,,,,,777.0,0.15,0.786734698005168,0.0036373890539601,0.3275851432968891,7.275957614183424e-10,/home/rafael/wd-magnetizada/castro/Exec/science/wd_braithwaite/plt_seed777_batch00070
seed,1,2026-07-26T20:43:48.892633+00:00,4a3583f7441b,,,64,,,,,,,,,,1001.0,0.15,0.8039740597810572,0.0036571028654982,0.3188259502883102,7.858034223318101e-10,/home/rafael/wd-magnetizada/castro/Exec/science/wd_braithwaite/plt_seed1001_batch00070
seed,1,2026-07-26T20:43:49.046041+00:00,4a3583f7441b,,,64,,,,,,,,,,8080.0,0.15,0.8250345358124929,0.0021930481331414,0.3536191678953286,5.311449058353901e-10,/home/rafael/wd-magnetizada/castro/Exec/science/wd_braithwaite/plt_seed8080_batch00070
star,1,2026-07-26T21:46:57.474741+00:00,eefdf630a3ec,997636727.6,2.0,128,75f7e2d9322e,983f5df9733e717013ae44a317ed5dc86897503f,,True,0.4,1.450293669203673,,,,,,,,,,
seed,1,2026-07-26T21:46:57.499120+00:00,eefdf630a3ec,,,128,,,,,,,,,,42.0,0.15,0.8208144241231005,0.013495965155087,0.3048121663644888,2.477463567629456e-09,/home/rafael/wd-magnetizada/castro/Exec/science/wd_braithwaite/plt_res128_batch00120
star,1,2026-07-27T00:01:14.686209+00:00,caeadea3573f,988393849.5,2.0,64,75f7e2d9322e,983f5df9733e717013ae44a317ed5dc86897503f,,True,0.4,1.128336973361359,,0.0001100839587088,,,,,,,,
star,1,2026-07-27T00:50:35.193082+00:00,caeadea3573f,988393849.5,2.0,64,75f7e2d9322e,983f5df9733e717013ae44a317ed5dc86897503f,,True,0.4,1.128336973361359,,0.0001100839587088,,,,,,,,
seed,1,2026-07-27T01:53:14.469594+00:00,caeadea3573f,,,64,,,,,,,,,,9.0,0.15,0.824299543278601,0.0034510115568282,0.3166821791967117,5.602487362921238e-10,/home/rafael/wd-magnetizada/castro/Exec/science/wd_braithwaite/plt_seed9_caeade00070
seed,1,2026-07-27T01:53:17.317898+00:00,caeadea3573f,,,64,,,,,,,,,,1.0,0.15,0.8219111201746119,0.0037101489091171,0.4022786344002855,6.912159733474255e-10,/home/rafael/wd-magnetizada/castro/Exec/science/wd_braithwaite/plt_seed1_caeade00070
seed,1,2026-07-27T01:53:17.560959+00:00,caeadea3573f,,,64,,,,,,,,,,6.0,0.15,0.8112781163293991,0.0030074042166796,0.337111399091298,5.638867150992152e-10,/home/rafael/wd-magnetizada/castro/Exec/science/wd_braithwaite/plt_seed6_caeade00070
seed,1,2026-07-27T01:53:35.310771+00:00,caeadea3573f,,,64,,,,,,,,,,3.0,0.15,1.1282465573623464,0.0028129064187545,0.3250830477596771,5.529727786779404e-10,/home/rafael/wd-magnetizada/castro/Exec/science/wd_braithwaite/plt_seed3_caeade00080
seed,1,2026-07-27T01:53:53.347631+00:00,caeadea3573f,,,64,,,,,,,,,,7.0,0.15,1.1059619839804056,0.0024973188429417,0.3241304274345771,6.402842700481415e-10,/home/rafael/wd-magnetizada/castro/Exec/science/wd_braithwaite/plt_seed7_caeade00080
seed,1,2026-07-27T01:53:56.314311+00:00,caeadea3573f,,,64,,,,,,,,,,4.0,0.15,1.1036956136357194,0.0025709380600429,0.3413807354876538,6.111804395914078e-10,/home/rafael/wd-magnetizada/castro/Exec/science/wd_braithwaite/plt_seed4_caeade00080
seed,1,2026-07-27T01:54:08.330572+00:00,caeadea3573f,,,64,,,,,,,,,,8.0,0.15,1.0600371378007676,0.003361137322758,0.276091324473782,7.457856554538012e-10,/home/rafael/wd-magnetizada/castro/Exec/science/wd_braithwaite/plt_seed8_caeade00080
seed,1,2026-07-27T01:54:08.445981+00:00,caeadea3573f,,,64,,,,,,,,,,10.0,0.15,1.0701581862169407,0.0040805089056559,0.303250776807189,6.693881005048752e-10,/home/rafael/wd-magnetizada/castro/Exec/science/wd_braithwaite/plt_seed10_caeade00080
seed,1,2026-07-27T01:54:11.293640+00:00,caeadea3573f,,,64,,,,,,,,,,5.0,0.15,1.036095284395881,0.0053137098077273,0.3826299007138979,6.657501216977835e-10,/home/rafael/wd-magnetizada/castro/Exec/science/wd_braithwaite/plt_seed5_caeade00080
seed,1,2026-07-27T01:54:14.334160+00:00,caeadea3573f,,,64,,,,,,,,,,2.0,0.15,0.979535510219016,0.0060932008550336,0.3100915350013754,6.0572347138077e-10,/home/rafael/wd-magnetizada/castro/Exec/science/wd_braithwaite/plt_seed2_caeade00080
star,1,2026-07-29T00:07:26.491132+00:00,caeadea3573f,988393849.5,2.0,64,75f7e2d9322e,983f5df9733e717013ae44a317ed5dc86897503f,,True,0.4,1.128336973361359,,0.0001100839587088,,,,,,,,
star,1,2026-07-29T02:26:09.506835+00:00,caeadea3573f,988393849.5,2.0,64,75f7e2d9322e,983f5df9733e717013ae44a317ed5dc86897503f,,True,0.4,1.128336973361359,,0.0001100839587088,,,,,,,,
star,1,2026-07-29T13:55:37.014739+00:00,caeadea3573f,988393849.5,2.0,64,75f7e2d9322e,983f5df9733e717013ae44a317ed5dc86897503f,,True,0.4,1.128336973361359,,0.0001100839587088,,,,,,,,
seed,1,2026-07-29T14:57:31.138000+00:00,caeadea3573f,,,64,,,,,,,,,,14.0,0.15,0.889686484073797,0.0021283192166643,0.3176975218956203,5.175024853087962e-10,/home/rafael/wd-magnetizada/castro/Exec/science/wd_braithwaite/plt_seed14_caeade00070
seed,1,2026-07-29T14:58:01.240395+00:00,caeadea3573f,,,64,,,,,,,,,,19.0,0.15,0.8382375032794349,0.002556856671398,0.2799396464137779,5.638867150992152e-10,/home/rafael/wd-magnetizada/castro/Exec/science/wd_braithwaite/plt_seed19_caeade00070
seed,1,2026-07-29T14:58:22.149960+00:00,caeadea3573f,,,64,,,,,,,,,,16.0,0.15,0.8078628936139712,0.0027773702487074,0.3034521814307968,5.120455170981586e-10,/home/rafael/wd-magnetizada/castro/Exec/science/wd_braithwaite/plt_seed16_caeade00070
seed,1,2026-07-29T14:58:23.400492+00:00,caeadea3573f,,,64,,,,,,,,,,18.0,0.15,0.8067096955605856,0.0024186702840005,0.3207155564715607,5.67524693906307e-10,/home/rafael/wd-magnetizada/castro/Exec/science/wd_braithwaite/plt_seed18_caeade00070
seed,1,2026-07-29T14:58:24.643878+00:00,caeadea3573f,,,64,,,,,,,,,,20.0,0.15,0.8273165323338199,0.0035181152127155,0.3384147525611189,6.984919309616089e-10,/home/rafael/wd-magnetizada/castro/Exec/science/wd_braithwaite/plt_seed20_caeade00070
