t_ttdyn,castro_dev_pct,run_sponge_dev_pct
0.05,0.5296,-0.4985
0.10,2.1837,-0.5977
0.15,2.7506,-0.2222
0.20,2.5141,-0.4696
0.25,2.0110,-0.8650
0.30,1.5021,-1.4115
0.35,1.0419,-1.8518
0.40,0.6039,-2.2311
0.45,0.3012,-2.5412
0.50,0.1264,-2.8344
0.55,0.0093,-3.1971
0.60,-0.0913,-3.7001
0.65,-0.1862,-4.2534
0.70,-0.2775,-4.7447
0.75,-0.3656,-5.2986
0.80,-0.4497,-5.8094
0.85,-0.5301,-6.2874
0.90,-0.6063,-6.7508
0.95,-0.6790,-7.2215
1.00,-0.7480,-7.7065
1.05,-0.8135,-8.2145
1.10,-0.8757,-8.7336
1.15,-0.9345,-9.2601
1.20,-0.9906,-9.7917
1.25,-1.0444,-10.3270
1.30,-1.0969,-10.8643
1.35,-1.1492,-11.4030
1.40,-1.2019,-11.9549
1.45,-1.2560,-12.6361
1.50,-1.3114,-13.2972
1.55,-1.3681,-13.9314
1.60,-1.4259,-14.6093
1.65,-1.4841,
1.70,-1.5422,
