t_s,t_ttdyn,rho_c,dev_pct_vs_t0
0.000000e+00,0.000000,9.418417e+08,0.0000
2.585076e-02,0.089770,9.416659e+08,-0.0187
4.475186e-02,0.155406,9.510727e+08,0.9801
6.363797e-02,0.220990,9.525048e+08,1.1322
8.252732e-02,0.286586,9.483687e+08,0.6930
1.014275e-01,0.352219,9.409741e+08,-0.0921
1.203454e-01,0.417914,9.311263e+08,-1.1377
1.487689e-01,0.516618,9.133735e+08,-3.0226
1.677531e-01,0.582543,9.008381e+08,-4.3535
1.867668e-01,0.648570,8.880267e+08,-5.7138
2.058130e-01,0.714710,8.746451e+08,-7.1346
2.224666e-01,0.772542,8.611729e+08,-8.5650
