t_s,t_ttdyn,rho_c,dev_pct_vs_t0,castro_dev_pct_same_ttdyn
0.000000e+00,0.000000,9.418417e+08,0.0000,0.0000
2.585714e-02,0.089792,9.376655e+08,-0.4434,0.2316
4.477836e-02,0.155498,9.439942e+08,0.2285,0.6839
6.368786e-02,0.221164,9.447775e+08,0.3117,0.7086
8.259676e-02,0.286827,9.421092e+08,0.0284,0.1538
1.015085e-01,0.352500,9.376867e+08,-0.4412,-0.2136
1.204255e-01,0.418192,9.322196e+08,-1.0216,-0.4846
1.488149e-01,0.516778,9.231176e+08,-1.9880,-0.8523
1.677509e-01,0.582535,9.169711e+08,-2.6406,-1.0339
1.866947e-01,0.648320,9.108446e+08,-3.2911,-1.1840
2.056468e-01,0.714133,9.046603e+08,-3.9477,-1.3232
2.209091e-01,0.767133,8.982800e+08,-4.6252,-1.4308
2.486006e-01,0.863295,8.887784e+08,-5.6340,-1.6144
