t_s,t_ttdyn,rho_c,dev_pct_vs_t0,castro_dev_pct_same_ttdyn
0.000000e+00,0.000000,9.418417e+08,0.0000,0.0000
2.221776e-02,0.077154,9.345969e+08,-0.7692,0.1528
4.367911e-02,0.151681,9.398678e+08,-0.2096,0.6624
6.656022e-02,0.231138,9.358402e+08,-0.6372,0.6309
8.134287e-02,0.282473,9.300015e+08,-1.2571,0.1859
1.082654e-01,0.375965,9.222470e+08,-2.0805,-0.3120
1.272184e-01,0.441781,9.183616e+08,-2.4930,-0.5809
1.461694e-01,0.507591,9.147268e+08,-2.8789,-0.8241
1.635401e-01,0.567913,9.104637e+08,-3.3316,-0.9975
1.835237e-01,0.637308,9.029557e+08,-4.1287,-1.1599
2.024874e-01,0.703162,8.968612e+08,-4.7758,-1.3003
2.210044e-01,0.767464,8.901009e+08,-5.4936,-1.4314
2.400001e-01,0.833429,8.840704e+08,-6.1339,-1.5591
2.685088e-01,0.932429,8.754296e+08,-7.0513,-1.7368
2.875266e-01,0.998471,8.694047e+08,-7.6910,-1.8473
3.065559e-01,1.064552,8.630812e+08,-8.3624,-1.9520
3.255980e-01,1.130678,8.565597e+08,-9.0548,-2.0507
3.446536e-01,1.196851,8.499370e+08,-9.7580,-2.1437
3.637231e-01,1.263072,8.432591e+08,-10.4670,-2.2318
3.828072e-01,1.329344,8.365430e+08,-11.1801,-2.3173
4.019064e-01,1.395668,8.298010e+08,-11.8959,-2.4023
4.258298e-01,1.478745,8.191416e+08,-13.0277,-2.5111
4.490917e-01,1.559525,8.094925e+08,-14.0522,-2.6206
4.669222e-01,1.621444,8.014652e+08,-14.9045,-2.7063
