  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal               
  0.000000000000000000E+00  2.677396139135960247E+33  0.000000000000000000E+00  0.000000000000000000E+00  0.000000000000000000E+00  1.801222523139166966E+51  0.000000000000000000E+00  1.801222523139166966E+51
  9.999999999999999547E-07  2.677396139135956212E+33  1.649876789952582297E+23  3.185107065487059730E+23  6.295504817475595776E+23  1.801222523163103039E+51  8.344876165505226188E+38  1.801222523162266955E+51
  3.000000000000000076E-06  2.677396139135947565E+33  4.672560273870629424E+23  9.367533341790815954E+23  1.889131060588595181E+24  1.801222523148030923E+51  7.406331599916931631E+39  1.801222523140622139E+51
  6.999999999999999895E-06  2.677396139135954482E+33  1.044454649453434812E+24  2.151167060155639362E+24  4.389061487573824180E+24  1.801222523074555187E+51  4.000035836735759810E+40  1.801222523034561375E+51
  1.499999999999999869E-05  2.677396139135953329E+33  2.208702454921539453E+24  4.569332294034150773E+24  9.294133747121525648E+24  1.801222522745531382E+51  1.833581930283551917E+41  1.801222522562165044E+51
  3.099999999999999457E-05  2.677396139135956788E+33  4.709527548994343366E+24  9.516970415531937032E+24  1.916196123493541835E+25  1.801222521363624751E+51  7.817134699772153379E+41  1.801222520581917397E+51
  6.299999999999998635E-05  2.677396139135956788E+33  9.851299205123848945E+24  1.962866386000027001E+25  3.921423612584435450E+25  1.801222515724301207E+51  3.215465437978479545E+42  1.801222512508842193E+51
  1.269999999999999970E-04  2.677396139135950447E+33  1.961552977821978881E+25  3.915638713642920135E+25  7.861854750262421222E+25  1.801222492928684093E+51  1.293291511782914640E+43  1.801222479995762585E+51
  2.550000000000000183E-04  2.677396139135952176E+33  3.830252424674533362E+25  7.752709054927096547E+25  1.566810363518905237E+26  1.801222401743314931E+51  5.128443132381405169E+43  1.801222350458892521E+51
  5.109999999999999525E-04  2.677396139135953329E+33  7.647754459845318682E+25  1.566656886608211974E+26  3.158436762905290460E+26  1.801222039648567823E+51  1.999958105939637687E+44  1.801221839652755430E+51
  1.023000000000000038E-03  2.677396139135961400E+33  1.568699310112053095E+26  3.172745533348385485E+26  6.356966417250144208E+26  1.801220618434815549E+51  7.578652630949493307E+44  1.801219860569549383E+51
  2.047000000000000208E-03  2.677396139135951600E+33  3.070057674178385050E+26  6.265494178476959180E+26  1.267596500797801647E+27  1.801215157501737723E+51  2.721062096364519615E+45  1.801212436439660510E+51
  4.094999999999999682E-03  2.677396139135962553E+33  5.868343157267622018E+26  1.236665000335005471E+27  2.536779716733847494E+27  1.801195055358476184E+51  8.833127114440220141E+45  1.801186222231363799E+51
  8.191000000000000364E-03  2.677396139135949294E+33  1.175094786131351036E+27  2.533587396991427614E+27  5.183042778006544844E+27  1.801127818726881549E+51  2.373936564472978660E+46  1.801104079361241857E+51
  1.306530305985255901E-02  2.677396139135962553E+33  1.873665015209291914E+27  4.048437562099318145E+27  8.265350270841493753E+27  1.801012165668290995E+51  4.103537832205142547E+46  1.800971130289973148E+51
  1.826205558030262466E-02  2.677396139135976388E+33  2.291471667414700904E+27  5.264286370977834220E+27  1.099317804600631561E+28  1.800853077925940261E+51  5.684607100096675626E+46  1.800796231854954873E+51
  2.370300471686290211E-02  2.677396139135982152E+33  2.333727402703418490E+27  5.911118352869455264E+27  1.283491986379140873E+28  1.800650570087078775E+51  6.992031808598407379E+46  1.800580649768999934E+51
  2.919067477237061170E-02  2.677396139136013858E+33  2.393442907470925871E+27  6.197979685462992580E+27  1.372811268757995111E+28  1.800410352391036505E+51  8.040018000110005586E+46  1.800329952211040972E+51
  3.515786786893831950E-02  2.677396139136034610E+33  2.648662023445995129E+27  6.635548260807590318E+27  1.435815695177287575E+28  1.800110528906862971E+51  8.892102822668440264E+46  1.800021607878642079E+51
  4.136124145002833402E-02  2.677396139136069198E+33  3.208300230597911044E+27  7.534894623271217031E+27  1.548554639169427763E+28  1.799759250163002217E+51  9.684575241003998470E+46  1.799662404410598620E+51
  4.790174935977257326E-02  2.677396139136110127E+33  4.134224071627128120E+27  9.055572188618968705E+27  1.771824348586318293E+28  1.799346867162054936E+51  1.052073503180167935E+47  1.799241659811733713E+51
  5.482700411095751264E-02  2.677396139136166043E+33  5.186367324010485074E+27  1.102740575827415480E+28  2.102053769893613139E+28  1.798865822283805822E+51  1.149736499024793656E+47  1.798750848633905232E+51
  6.206930780084535942E-02  2.677396139136245018E+33  6.395444259352566077E+27  1.342164556508906493E+28  2.511452720812921013E+28  1.798315930081513493E+51  1.269009309713588356E+47  1.798189029150510418E+51
