  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal               
  0.000000000000000000E+00  2.677397018171561665E+33  0.000000000000000000E+00  0.000000000000000000E+00  0.000000000000000000E+00  1.817443045471271624E+51  0.000000000000000000E+00  1.817443045471271624E+51
  9.999999999999999547E-07  2.677397018171566277E+33 -3.114732736845857790E+22 -4.308936037077033681E+22 -5.833487377175090194E+22  1.817443045468556011E+51  8.555581237163692796E+38  1.817443045467700985E+51
  3.000000000000000076E-06  2.677397018171560512E+33 -9.735672707426828262E+22 -1.405558311607583837E+23 -1.947486182544270741E+23  1.817443045446765644E+51  7.699263385592532809E+39  1.817443045439059445E+51
  6.999999999999999895E-06  2.677397018171561665E+33 -2.048309168122139509E+23 -3.004478853360305014E+23 -4.232299903513935804E+23  1.817443045337807164E+51  4.190791570275251425E+40  1.817443045295902919E+51
  1.499999999999999869E-05  2.677397018171573194E+33 -4.039952244292852489E+23 -6.094896475674004402E+23 -8.568708618893869890E+23  1.817443044858572951E+51  1.923145660791144978E+41  1.817443044666265230E+51
  3.099999999999999457E-05  2.677397018171560512E+33 -8.381347345180211188E+23 -1.236971788135695334E+24 -1.719799173363978352E+24  1.817443042855544995E+51  8.201286581845010399E+41  1.817443042035428602E+51
  6.299999999999998635E-05  2.677397018171579536E+33 -1.793595373030853413E+24 -2.489849281348946729E+24 -3.308432772991844937E+24  1.817443034677919363E+51  3.375117366290373666E+42  1.817443031302807106E+51
  1.269999999999999970E-04  2.677397018171589335E+33 -3.007280452616499652E+24 -3.682910901060185690E+24 -3.835834409431237873E+24  1.817443001689283849E+51  1.361156221322877148E+43  1.817442988077722662E+51
  2.550000000000000183E-04  2.677397018171630264E+33  1.602376423962780201E+24  5.274145491602445322E+24  1.401902743392926907E+25  1.817442869600077707E+51  5.401682368378617500E+43  1.817442815583276284E+51
  5.109999999999999525E-04  2.677397018171774379E+33  1.294983570067298975E+25  1.793920035726550701E+25  3.835399066271098327E+25  1.817442344324171681E+51  2.101210599032815823E+44  1.817442134203172722E+51
  1.023000000000000038E-03  2.677397018172381392E+33  1.929986909363047096E+25  4.297427286387671983E+24  1.921995779830316118E+25  1.817440275839663026E+51  7.928325351646405269E+44  1.817439483007333081E+51
  2.047000000000000208E-03  2.677397018173902096E+33  1.388383124661305177E+25 -4.235276516254529761E+25 -6.091557614996662973E+25  1.817432273633519674E+51  2.825547324510796595E+45  1.817429448086957122E+51
  4.094999999999999682E-03  2.677397018179138665E+33 -1.001141694368364785E+25 -1.428326966408752891E+26 -2.891764727617641595E+26  1.817402384299510407E+51  9.057667511866202256E+45  1.817393326633732875E+51
  8.191000000000000364E-03  2.677397018199377626E+33 -1.005840449018820082E+26 -3.378333758180115489E+26 -7.733441799676988395E+26  1.817298808580245941E+51  2.391237986579275310E+46  1.817274896201927771E+51
  1.638300000000000173E-02  2.677397018273280471E+33 -6.446408038435695288E+26 -7.016492120247718859E+26 -1.185663442320013302E+27  1.817001268974440061E+51  4.453347723393282342E+46  1.816956735498690896E+51
  2.585714204588627357E-02  2.677397018425534132E+33 -7.148340592449439353E+26 -6.497220701791372671E+26 -9.732797321194338785E+26  1.816579356483995465E+51  5.909596367245029385E+46  1.816520260522032274E+51
  3.532051865291448156E-02  2.677397018644366127E+33 -5.037442774606707942E+26 -4.015144878395087146E+26 -5.595815387541214792E+26  1.816096692484355333E+51  7.028998269911080461E+46  1.816026402503518615E+51
  4.477835522158579024E-02  2.677397018919609996E+33 -6.945278833686044609E+26 -6.371416858687725322E+26 -7.239576712898480898E+26  1.815553105941364825E+51  7.914219014840230886E+46  1.815473963753110155E+51
