  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal               
  0.000000000000000000E+00  2.686188298805390993E+33  0.000000000000000000E+00  0.000000000000000000E+00  0.000000000000000000E+00  1.816856225970157744E+51  0.000000000000000000E+00  1.816856225970157744E+51
  9.999999999999999547E-07  2.686188298805399640E+33  3.435706083728403988E+20  5.534023222112865485E+19  2.421135159674378650E+20  1.816856225966287364E+51  8.802534283063955182E+38  1.816856225965409742E+51
  3.000000000000000076E-06  2.686188298805470545E+33 -2.305843009213693952E+20 -3.504881374004814807E+20 -1.927684755702648144E+21  1.816856225935307047E+51  7.919956863907787856E+39  1.816856225927409772E+51
  6.999999999999999895E-06  2.686188298805767999E+33  2.896138819572399604E+21  3.209733468825461981E+21  2.564097426245627675E+21  1.816856225780419752E+51  4.309472007208572142E+40  1.816856225737430857E+51
  1.499999999999999869E-05  2.686188298806546797E+33 -1.918461383665793368E+21  4.427218577690292388E+20  1.807780919223536058E+21  1.816856225099227955E+51  1.976583030037188738E+41  1.816856224901865511E+51
  3.099999999999999457E-05  2.686188298808989261E+33  2.730118122909013639E+21  5.902958103587056517E+20  1.158455527828959841E+22  1.816856222252170129E+51  8.423569318513041461E+41  1.816856221410116822E+51
  6.299999999999998635E-05  2.686188298818417277E+33 -6.345679961356085756E+21 -2.243124079363081477E+22 -4.486248158726162953E+22  1.816856210624519941E+51  3.464379878496654903E+42  1.816856207159910432E+51
  1.269999999999999970E-04  2.686188298848588656E+33 -2.331668450916887324E+22 -3.010508632829398824E+22 -7.349182838965885364E+22  1.816856163684038215E+51  1.396717536102320880E+43  1.816856149716713143E+51
  2.550000000000000183E-04  2.686188298934922877E+33 -8.028023020878396863E+22 -8.382200507093620254E+22 -2.042423503841121555E+23  1.816855975513559462E+51  5.547065690539173336E+43  1.816855920042455006E+51
  5.109999999999999525E-04  2.686188299170424389E+33  2.715360727650045998E+22  1.133367955888714851E+23 -7.437727210519691212E+22  1.816855225658487377E+51  2.164012829794329512E+44  1.816855009256766507E+51
  1.023000000000000038E-03  2.686188299839872295E+33 -1.463933609689590016E+23 -2.762584392478742450E+23 -6.564089411188806847E+23  1.816852260869010667E+51  8.196593341197755081E+44  1.816851441209262876E+51
  2.047000000000000208E-03  2.686188301924725040E+33  7.272444383619253629E+23  9.586403960225379784E+23 -7.083549724304467821E+22  1.816840697865637122E+51  2.939615105094044885E+45  1.816837758250109684E+51
  4.094999999999999682E-03  2.686188309070936625E+33  8.594706998822754289E+23 -3.683445856638323267E+23 -3.239543407248576617E+24  1.816796778181794524E+51  9.530933502790329278E+45  1.816787247247795240E+51
  8.191000000000000364E-03  2.686188335246972534E+33 -1.511157274518286468E+23  6.611313076017503299E+23  1.265594217409064917E+24  1.816638804440617017E+51  2.569312517437106865E+46  1.816613111315207191E+51
  1.638300000000000173E-02  2.686188434979790701E+33  1.624494070107157954E+24  9.784743352505904883E+24  1.246704751477586336E+25  1.816136833521236401E+51  4.937516214748279137E+46  1.816087458359091167E+51
