# 1D hydrostatic white dwarf, ztwd structure, isothermal T
# rho_c=9.8839384950e+08 R=2.4562141156e+08 M_msun=1.3461439553 t_dyn=0.2879669941 T_iso=1.0000000000e+07
# r density temperature
0.0000000000e+00 9.8839384950e+08 1.0000000000e+07
4.1460913322e+05 9.8835739967e+08 1.0000000000e+07
8.2921826645e+05 9.8824805970e+08 1.0000000000e+07
1.2438273997e+06 9.8806586032e+08 1.0000000000e+07
1.6584365329e+06 9.8781085238e+08 1.0000000000e+07
2.0730456661e+06 9.8748310700e+08 1.0000000000e+07
2.4876547993e+06 9.8708271558e+08 1.0000000000e+07
2.9022639326e+06 9.8660978971e+08 1.0000000000e+07
3.3168730658e+06 9.8606446111e+08 1.0000000000e+07
3.7314821990e+06 9.8544688159e+08 1.0000000000e+07
4.1460913322e+06 9.8475722292e+08 1.0000000000e+07
4.5607004655e+06 9.8399567676e+08 1.0000000000e+07
4.9753095987e+06 9.8316245452e+08 1.0000000000e+07
5.3899187319e+06 9.8225778730e+08 1.0000000000e+07
5.8045278651e+06 9.8128192569e+08 1.0000000000e+07
6.2191369984e+06 9.8023513967e+08 1.0000000000e+07
6.6337461316e+06 9.7911771847e+08 1.0000000000e+07
7.0483552648e+06 9.7792997036e+08 1.0000000000e+07
7.4629643980e+06 9.7667222250e+08 1.0000000000e+07
7.8775735312e+06 9.7534482080e+08 1.0000000000e+07
8.2921826645e+06 9.7394812963e+08 1.0000000000e+07
8.7067917977e+06 9.7248253173e+08 1.0000000000e+07
9.1214009309e+06 9.7094842790e+08 1.0000000000e+07
9.5360100641e+06 9.6934623683e+08 1.0000000000e+07
9.9506191974e+06 9.6767639489e+08 1.0000000000e+07
1.0365228331e+07 9.6593935580e+08 1.0000000000e+07
1.0779837464e+07 9.6413559048e+08 1.0000000000e+07
1.1194446597e+07 9.6226558673e+08 1.0000000000e+07
1.1609055730e+07 9.6032984900e+08 1.0000000000e+07
1.2023664863e+07 9.5832889807e+08 1.0000000000e+07
1.2438273997e+07 9.5626327083e+08 1.0000000000e+07
1.2852883130e+07 9.5413351993e+08 1.0000000000e+07
1.3267492263e+07 9.5194021352e+08 1.0000000000e+07
1.3682101396e+07 9.4968393492e+08 1.0000000000e+07
1.4096710530e+07 9.4736528233e+08 1.0000000000e+07
1.4511319663e+07 9.4498486851e+08 1.0000000000e+07
1.4925928796e+07 9.4254332044e+08 1.0000000000e+07
1.5340537929e+07 9.4004127900e+08 1.0000000000e+07
1.5755147062e+07 9.3747939862e+08 1.0000000000e+07
1.6169756196e+07 9.3485834697e+08 1.0000000000e+07
1.6584365329e+07 9.3217880458e+08 1.0000000000e+07
1.6998974462e+07 9.2944146450e+08 1.0000000000e+07
1.7413583595e+07 9.2664703194e+08 1.0000000000e+07
1.7828192729e+07 9.2379622393e+08 1.0000000000e+07
1.8242801862e+07 9.2088976892e+08 1.0000000000e+07
1.8657410995e+07 9.1792840644e+08 1.0000000000e+07
1.9072020128e+07 9.1491288671e+08 1.0000000000e+07
1.9486629262e+07 9.1184397029e+08 1.0000000000e+07
1.9901238395e+07 9.0872242766e+08 1.0000000000e+07
2.0315847528e+07 9.0554903888e+08 1.0000000000e+07
2.0730456661e+07 9.0232459318e+08 1.0000000000e+07
2.1145065794e+07 8.9904988862e+08 1.0000000000e+07
2.1559674928e+07 8.9572573162e+08 1.0000000000e+07
2.1974284061e+07 8.9235293667e+08 1.0000000000e+07
2.2388893194e+07 8.8893232587e+08 1.0000000000e+07
2.2803502327e+07 8.8546472857e+08 1.0000000000e+07
2.3218111461e+07 8.8195098098e+08 1.0000000000e+07
2.3632720594e+07 8.7839192579e+08 1.0000000000e+07
2.4047329727e+07 8.7478841175e+08 1.0000000000e+07
2.4461938860e+07 8.7114129330e+08 1.0000000000e+07
2.4876547993e+07 8.6745143018e+08 1.0000000000e+07
2.5291157127e+07 8.6371968705e+08 1.0000000000e+07
2.5705766260e+07 8.5994693310e+08 1.0000000000e+07
2.6120375393e+07 8.5613404164e+08 1.0000000000e+07
2.6534984526e+07 8.5228188976e+08 1.0000000000e+07
2.6949593660e+07 8.4839135791e+08 1.0000000000e+07
2.7364202793e+07 8.4446332955e+08 1.0000000000e+07
2.7778811926e+07 8.4049869076e+08 1.0000000000e+07
2.8193421059e+07 8.3649832986e+08 1.0000000000e+07
2.8608030192e+07 8.3246313706e+08 1.0000000000e+07
2.9022639326e+07 8.2839400407e+08 1.0000000000e+07
2.9437248459e+07 8.2429182373e+08 1.0000000000e+07
2.9851857592e+07 8.2015748971e+08 1.0000000000e+07
3.0266466725e+07 8.1599189606e+08 1.0000000000e+07
3.0681075859e+07 8.1179593693e+08 1.0000000000e+07
3.1095684992e+07 8.0757050620e+08 1.0000000000e+07
3.1510294125e+07 8.0331649712e+08 1.0000000000e+07
3.1924903258e+07 7.9903480198e+08 1.0000000000e+07
3.2339512391e+07 7.9472631180e+08 1.0000000000e+07
3.2754121525e+07 7.9039191596e+08 1.0000000000e+07
3.3168730658e+07 7.8603250189e+08 1.0000000000e+07
3.3583339791e+07 7.8164895478e+08 1.0000000000e+07
3.3997948924e+07 7.7724215720e+08 1.0000000000e+07
3.4412558058e+07 7.7281298887e+08 1.0000000000e+07
3.4827167191e+07 7.6836232630e+08 1.0000000000e+07
3.5241776324e+07 7.6389104251e+08 1.0000000000e+07
3.5656385457e+07 7.5940000673e+08 1.0000000000e+07
3.6070994590e+07 7.5489008416e+08 1.0000000000e+07
3.6485603724e+07 7.5036213562e+08 1.0000000000e+07
3.6900212857e+07 7.4581701732e+08 1.0000000000e+07
3.7314821990e+07 7.4125558059e+08 1.0000000000e+07
3.7729431123e+07 7.3667867162e+08 1.0000000000e+07
3.8144040257e+07 7.3208713117e+08 1.0000000000e+07
3.8558649390e+07 7.2748179441e+08 1.0000000000e+07
3.8973258523e+07 7.2286349055e+08 1.0000000000e+07
3.9387867656e+07 7.1823304275e+08 1.0000000000e+07
3.9802476789e+07 7.1359126777e+08 1.0000000000e+07
4.0217085923e+07 7.0893897582e+08 1.0000000000e+07
4.0631695056e+07 7.0427697032e+08 1.0000000000e+07
4.1046304189e+07 6.9960604770e+08 1.0000000000e+07
4.1460913322e+07 6.9492699720e+08 1.0000000000e+07
4.1875522456e+07 6.9024060066e+08 1.0000000000e+07
4.2290131589e+07 6.8554763237e+08 1.0000000000e+07
4.2704740722e+07 6.8084885884e+08 1.0000000000e+07
4.3119349855e+07 6.7614503867e+08 1.0000000000e+07
4.3533958988e+07 6.7143692238e+08 1.0000000000e+07
4.3948568122e+07 6.6672525220e+08 1.0000000000e+07
4.4363177255e+07 6.6201076199e+08 1.0000000000e+07
4.4777786388e+07 6.5729417703e+08 1.0000000000e+07
4.5192395521e+07 6.5257621395e+08 1.0000000000e+07
4.5607004655e+07 6.4785758049e+08 1.0000000000e+07
4.6021613788e+07 6.4313897551e+08 1.0000000000e+07
4.6436222921e+07 6.3842108876e+08 1.0000000000e+07
4.6850832054e+07 6.3370460082e+08 1.0000000000e+07
4.7265441187e+07 6.2899018298e+08 1.0000000000e+07
4.7680050321e+07 6.2427849713e+08 1.0000000000e+07
4.8094659454e+07 6.1957019572e+08 1.0000000000e+07
4.8509268587e+07 6.1486592157e+08 1.0000000000e+07
4.8923877720e+07 6.1016630789e+08 1.0000000000e+07
4.9338486854e+07 6.0547197818e+08 1.0000000000e+07
4.9753095987e+07 6.0078354609e+08 1.0000000000e+07
5.0167705120e+07 5.9610161548e+08 1.0000000000e+07
5.0582314253e+07 5.9142678025e+08 1.0000000000e+07
5.0996923387e+07 5.8675962436e+08 1.0000000000e+07
5.1411532520e+07 5.8210072175e+08 1.0000000000e+07
5.1826141653e+07 5.7745063633e+08 1.0000000000e+07
5.2240750786e+07 5.7280992192e+08 1.0000000000e+07
5.2655359919e+07 5.6817912221e+08 1.0000000000e+07
5.3069969053e+07 5.6355877081e+08 1.0000000000e+07
5.3484578186e+07 5.5894939112e+08 1.0000000000e+07
5.3899187319e+07 5.5435149642e+08 1.0000000000e+07
5.4313796452e+07 5.4976558982e+08 1.0000000000e+07
5.4728405586e+07 5.4519216423e+08 1.0000000000e+07
5.5143014719e+07 5.4063170242e+08 1.0000000000e+07
5.5557623852e+07 5.3608467698e+08 1.0000000000e+07
5.5972232985e+07 5.3155155037e+08 1.0000000000e+07
5.6386842118e+07 5.2703277490e+08 1.0000000000e+07
5.6801451252e+07 5.2252879279e+08 1.0000000000e+07
5.7216060385e+07 5.1804003616e+08 1.0000000000e+07
5.7630669518e+07 5.1356692706e+08 1.0000000000e+07
5.8045278651e+07 5.0910987755e+08 1.0000000000e+07
5.8459887785e+07 5.0466928968e+08 1.0000000000e+07
5.8874496918e+07 5.0024555558e+08 1.0000000000e+07
5.9289106051e+07 4.9583905746e+08 1.0000000000e+07
5.9703715184e+07 4.9145016769e+08 1.0000000000e+07
6.0118324317e+07 4.8707924887e+08 1.0000000000e+07
6.0532933451e+07 4.8272665380e+08 1.0000000000e+07
6.0947542584e+07 4.7839272566e+08 1.0000000000e+07
6.1362151717e+07 4.7407779799e+08 1.0000000000e+07
6.1776760850e+07 4.6978219477e+08 1.0000000000e+07
6.2191369984e+07 4.6550623051e+08 1.0000000000e+07
6.2605979117e+07 4.6125021029e+08 1.0000000000e+07
6.3020588250e+07 4.5701442988e+08 1.0000000000e+07
6.3435197383e+07 4.5279917577e+08 1.0000000000e+07
6.3849806516e+07 4.4860472527e+08 1.0000000000e+07
6.4264415650e+07 4.4443134660e+08 1.0000000000e+07
6.4679024783e+07 4.4027929895e+08 1.0000000000e+07
6.5093633916e+07 4.3614883260e+08 1.0000000000e+07
6.5508243049e+07 4.3204018897e+08 1.0000000000e+07
6.5922852183e+07 4.2795360075e+08 1.0000000000e+07
6.6337461316e+07 4.2388929195e+08 1.0000000000e+07
6.6752070449e+07 4.1984747805e+08 1.0000000000e+07
6.7166679582e+07 4.1582836603e+08 1.0000000000e+07
6.7581288715e+07 4.1183215451e+08 1.0000000000e+07
6.7995897849e+07 4.0785903387e+08 1.0000000000e+07
6.8410506982e+07 4.0390918626e+08 1.0000000000e+07
6.8825116115e+07 3.9998278582e+08 1.0000000000e+07
6.9239725248e+07 3.9607999870e+08 1.0000000000e+07
6.9654334382e+07 3.9220098318e+08 1.0000000000e+07
7.0068943515e+07 3.8834588981e+08 1.0000000000e+07
7.0483552648e+07 3.8451486147e+08 1.0000000000e+07
7.0898161781e+07 3.8070803352e+08 1.0000000000e+07
7.1312770914e+07 3.7692553387e+08 1.0000000000e+07
7.1727380048e+07 3.7316748309e+08 1.0000000000e+07
7.2141989181e+07 3.6943399458e+08 1.0000000000e+07
7.2556598314e+07 3.6572517459e+08 1.0000000000e+07
7.2971207447e+07 3.6204112240e+08 1.0000000000e+07
