  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal               
  0.000000000000000000E+00  2.677397018171561665E+33  0.000000000000000000E+00  0.000000000000000000E+00  0.000000000000000000E+00  1.817443045471271624E+51  0.000000000000000000E+00  1.817443045471271624E+51
  9.999999999999999547E-07  2.677397018171566277E+33 -3.114732736845857790E+22 -4.308936037077033681E+22 -5.833487377175090194E+22  1.817443045468556011E+51  8.555581237163692796E+38  1.817443045467700985E+51
  3.000000000000000076E-06  2.677397018171567430E+33 -9.702151514680384186E+22 -1.378680829031436717E+23 -1.888053078981787779E+23  1.817443045446764647E+51  7.698687955008062375E+39  1.817443045439060774E+51
  6.999999999999999895E-06  2.677397018171562818E+33 -1.868418825758333175E+23 -2.765005527638416829E+23 -3.917800210879757051E+23  1.817443045337801847E+51  4.189696859890169291E+40  1.817443045295909897E+51
  1.499999999999999869E-05  2.677397018171569736E+33 -3.405799299898902378E+23 -5.247291643917142642E+23 -7.423430983862566309E+23  1.817443044858541382E+51  1.921763852147463685E+41  1.817443044666363592E+51
  3.099999999999999457E-05  2.677397018171565124E+33 -8.506485445290238358E+23 -1.228885196702382910E+24 -1.630588413180509747E+24  1.817443042855258547E+51  8.187402943169869058E+41  1.817443042036532526E+51
  6.299999999999998635E-05  2.677397018171580688E+33 -1.932139644396449001E+24 -2.676493437886739973E+24 -3.507145711839862655E+24  1.817443034676102973E+51  3.364292612843860870E+42  1.817443031311816614E+51
  1.269999999999999970E-04  2.677397018171580112E+33 -3.342780610457092122E+24 -4.094070379719097886E+24 -4.802388458661397249E+24  1.817443001680757184E+51  1.354906852547428988E+43  1.817442988131686660E+51
  2.550000000000000183E-04  2.677397018171596253E+33 -1.630341687978523881E+24  5.141660975665063322E+23  6.005983169238724363E+24  1.817442869571660141E+51  5.376301022028509503E+43  1.817442815808640245E+51
  5.109999999999999525E-04  2.677397018171657358E+33  9.332613655259283773E+24  1.920959072813373641E+25  4.856245572658999656E+25  1.817442344240702144E+51  2.094805227402523519E+44  1.817442134760193024E+51
  1.023000000000000038E-03  2.677397018171868342E+33  2.630306480074985997E+25  3.199325815819075052E+25  8.188572413249520575E+25  1.817440275551414286E+51  7.913130348539505548E+44  1.817439484238434807E+51
  2.047000000000000208E-03  2.677397018172337581E+33  1.763508733446633134E+25 -2.908830179495111775E+24  2.500898881049098751E+25  1.817432272478294269E+51  2.822172827626364293E+45  1.817429450305689871E+51
  4.094999999999999682E-03  2.677397018173140591E+33 -5.637265959344603103E+25 -1.345579299712669533E+26 -2.009455482832587844E+26  1.817402379538740107E+51  9.050389030297749615E+45  1.817393329150522405E+51
  8.191000000000000364E-03  2.677397018175777323E+33 -1.405163758810277282E+26 -3.608360229560695908E+26 -7.131953980753881684E+26  1.817298789574399407E+51  2.389767848275286875E+46  1.817274891897261455E+51
  1.638300000000000173E-02  2.677397018185910926E+33 -1.763331644703525523E+26 -7.339690882335317377E+26 -1.507152707740813009E+27  1.817001198449101132E+51  4.451221275774890568E+46  1.816956686237930048E+51
  2.221775741505858243E-02  2.677397018191635758E+33 -2.938634214960122824E+26 -1.058716786527511500E+27 -1.932921269836340222E+27  1.816717517790897882E+51  5.884723269247619117E+46  1.816658670559554346E+51
  3.167889037194097229E-02  2.677397018204917414E+33 -9.496112313072912167E+26 -1.708854424957141296E+27 -2.427976392968530869E+27  1.816193027648366001E+51  6.728268129143785765E+46  1.816125744968506018E+51
  3.389522512588032804E-02  2.677397018206625467E+33 -1.236504439874587903E+27 -1.953813019156555532E+27 -2.608068561159247659E+27  1.816048626503582802E+51  7.290943851700938502E+46  1.815975717065656576E+51
