# barotropic twisted torus on a field-free star, rho_c=1.000e+09, mu_e=2.0, k0=1.000e-13
# background M=1.3464 Msun, |W|=2.256911e+51 erg
zeta,B_ref_G,iters,converged,E_tor_over_Emag,E_tor_over_W,E_pol_over_W,Bphi_max_G,VE
1.0,0.000000e+00,0,True,0.000000e+00,0.000000e+00,1.717198e-04,0.000000e+00,2.750455e-04
1.0,1.000000e+10,66,True,4.513711e-05,7.754443e-09,1.717897e-04,9.812357e+09,2.751232e-04
1.0,3.000000e+10,80,True,4.050104e-04,6.983172e-08,1.723497e-04,2.944398e+10,2.757453e-04
1.0,1.000000e+11,94,True,4.347899e-03,7.806216e-07,1.787593e-04,9.839029e+10,2.828657e-04
1.0,3.000000e+11,130,True,2.884085e-02,6.978419e-06,2.349846e-04,2.973973e+11,3.452887e-04
1.0,1.000000e+12,428,True,3.990774e-02,1.382533e-05,3.326069e-04,7.230466e+11,4.497579e-04
1.0,3.000000e+12,7,False,4.348622e-01,5.777766e+01,7.508664e+01,1.668371e+15,1.328644e+02
1.0,1.000000e+13,2,False,9.581224e-01,4.644160e+03,2.029870e+02,1.002932e+16,4.847147e+03
1.0,3.000000e+13,2,False,9.951317e-01,2.479206e+08,1.212864e+06,2.330489e+18,2.491334e+08
1.0,1.000000e+14,1,False,9.996886e-01,7.650555e+06,2.383249e+03,3.407969e+17,7.652938e+06
1.1,0.000000e+00,0,True,0.000000e+00,0.000000e+00,1.717198e-04,0.000000e+00,2.750455e-04
1.1,1.000000e+10,66,True,4.203374e-05,7.221257e-09,1.717894e-04,9.752310e+09,2.751224e-04
1.1,3.000000e+10,80,True,3.775087e-04,6.508724e-08,1.723475e-04,2.927932e+10,2.757383e-04
1.1,1.000000e+11,95,True,4.093471e-03,7.348534e-07,1.787836e-04,9.834823e+10,2.828442e-04
1.1,3.000000e+11,141,True,2.873914e-02,7.057899e-06,2.385270e-04,3.100103e+11,3.489107e-04
1.1,1.000000e+12,600,False,3.794885e-02,1.303133e-05,3.303606e-04,7.501141e+11,4.467177e-04
1.1,3.000000e+12,4,False,8.538368e-01,3.044469e+02,5.211644e+01,3.279536e+15,3.565634e+02
1.1,1.000000e+13,2,False,9.928568e-01,1.571827e+05,1.130864e+03,6.011566e+16,1.583136e+05
1.1,3.000000e+13,2,False,9.996927e-01,5.423282e+10,1.667064e+07,3.543303e+19,5.424949e+10
1.1,1.000000e+14,1,False,9.999492e-01,4.684193e+07,2.379836e+03,8.792432e+17,4.684431e+07
2.0,0.000000e+00,0,True,0.000000e+00,0.000000e+00,1.717198e-04,0.000000e+00,2.750455e-04
2.0,1.000000e+10,66,True,2.588678e-05,4.447154e-09,1.717880e-04,9.493735e+09,2.751182e-04
2.0,3.000000e+10,81,True,2.345336e-04,4.042876e-08,1.723390e-04,2.864341e+10,2.757051e-04
2.0,1.000000e+11,105,True,2.827582e-03,5.085371e-07,1.793402e-04,1.024130e+11,2.831745e-04
2.0,3.000000e+11,21,False,1.000000e+00,6.408386e+17,2.880275e+07,2.067061e+23,6.408386e+17
2.0,1.000000e+12,4,False,1.000000e+00,2.806162e+13,4.684250e+04,1.236160e+21,2.806162e+13
2.0,3.000000e+12,2,False,9.999999e-01,2.034308e+09,1.318228e+02,9.537051e+18,2.034308e+09
2.0,1.000000e+13,2,False,1.000000e+00,2.352589e+26,1.325675e+10,3.286291e+27,2.352589e+26
2.0,3.000000e+13,2,False,1.000000e+00,3.365538e+42,5.278485e+17,3.935109e+35,3.365538e+42
2.0,1.000000e+14,1,False,1.000000e+00,5.990586e+14,2.449499e+03,4.481650e+21,5.990586e+14
