# braking sequence at fixed M = 2.0 Msun, mu_e=2.0, Nr=65, m_tor=1.0
# lines: C+C=3.000e+09, 20Ne=9.600e+09, 16O=1.940e+10 g/cm^3; B_c=4.4140e+13 G
rho_c,K_tor,M_msun,E_mag_over_W,Bphi_max_G,Bphi_over_Bc,VE,frac_pol,certified,R_eq_cm,R_pol_cm,solves
8.000000e+08,3.322903e-03,2.002741e+00,2.083036e-01,3.702691e+13,8.388517e-01,7.774221e-04,1.450720e-01,True,5.599201e+08,6.206508e+08,3
1.103784e+09,3.208983e-03,1.997192e+00,1.994103e-01,4.553438e+13,1.031590e+00,6.505631e-04,1.391787e-01,True,5.002908e+08,5.505324e+08,3
1.522923e+09,3.124227e-03,1.997830e+00,1.926354e-01,5.610616e+13,1.271096e+00,5.642099e-04,1.347085e-01,True,4.504062e+08,4.926643e+08,3
2.101222e+09,3.050552e-03,1.998102e+00,1.867057e-01,6.915434e+13,1.566705e+00,4.952222e-04,1.307085e-01,True,4.062881e+08,4.419835e+08,3
2.899119e+09,2.987500e-03,1.998361e+00,1.815975e-01,8.526633e+13,1.931725e+00,4.400299e-04,1.271262e-01,True,3.671020e+08,3.974510e+08,3
4.000000e+09,2.933751e-03,1.998588e+00,1.772190e-01,1.051595e+14,2.382407e+00,3.953727e-04,1.238782e-01,True,3.321613e+08,3.580877e+08,3
5.518919e+09,2.888135e-03,1.998788e+00,1.734857e-01,1.297442e+14,2.939380e+00,3.587872e-04,1.208984e-01,True,3.008989e+08,3.231183e+08,3
7.614616e+09,2.849580e-03,1.998963e+00,1.703178e-01,1.603066e+14,3.631777e+00,3.271928e-04,1.181302e-01,True,2.727199e+08,2.919093e+08,3
1.050611e+10,2.817119e-03,1.999117e+00,1.676414e-01,1.980802e+14,4.487545e+00,3.002081e-04,1.155275e-01,True,2.473464e+08,2.639481e+08,3
1.449559e+10,2.789882e-03,1.999252e+00,1.653889e-01,2.447388e+14,5.544604e+00,2.777979e-04,1.130520e-01,True,2.244146e+08,2.388129e+08,3
2.000000e+10,2.767104e-03,1.999369e+00,1.635000e-01,3.025782e+14,6.854966e+00,2.593771e-04,1.106733e-01,True,2.035681e+08,2.161566e+08,3
