# Toroidal/poloidal split of the 192^3 magnetised run, dir_rot192, 70 plotfiles.
# Produced by tools/fbtbp.cpp over the plotfiles, rho_cut = 1.0e5 g/cm^3.
# Energies in erg. Peak fields in GAUSS: the sweep was run with the build
# that printed Castro's Heaviside-Lorentz state, and the sqrt(4 pi) = 3.5449
# conversion is applied here. B_c = 4.4140e13 G.
t,E_tor,E_pol,Et_over_Ep,Et_over_Emag,Btor_max_G,Bpol_max_G,B_max_G,Bt_over_Bp_amp,B_over_Bc
0.00000,6.035000e+49,1.941710e+44,3.108085e+05,0.99999678,3.196160e+13,9.455368e+10,3.196160e+13,3.380260e+02,0.724096
0.04271,6.046540e+49,4.263150e+44,1.418327e+05,0.99999295,3.241095e+13,2.224440e+11,3.241127e+13,1.457038e+02,0.734283
0.22702,6.028510e+49,4.172130e+45,1.444948e+04,0.99993080,3.873840e+13,9.743817e+11,3.873946e+13,3.975690e+01,0.877650
0.41130,5.914510e+49,1.079800e+46,5.477412e+03,0.99981747,4.325142e+13,1.761068e+12,4.325603e+13,2.455977e+01,0.979973
0.59587,5.621490e+49,1.816670e+46,3.094392e+03,0.99967694,4.569918e+13,2.428765e+12,4.570627e+13,1.881581e+01,1.035484
0.78090,5.174610e+49,2.330680e+46,2.220215e+03,0.99954980,4.395934e+13,2.488220e+12,4.396572e+13,1.766698e+01,0.996052
0.96880,4.504880e+49,3.270000e+46,1.377639e+03,0.99927465,3.730306e+13,2.546768e+12,3.731547e+13,1.464722e+01,0.845389
1.17046,3.776750e+49,3.177430e+46,1.188618e+03,0.99915939,3.158736e+13,2.937346e+12,3.159569e+13,1.075371e+01,0.715806
1.38658,3.394170e+49,3.504530e+46,9.685093e+02,0.99896855,2.983891e+13,3.340944e+12,2.984748e+13,8.931279e+00,0.676200
1.60333,3.310750e+49,4.281550e+46,7.732597e+02,0.99870844,3.197478e+13,3.658522e+12,3.198737e+13,8.739809e+00,0.724680
1.81233,3.417160e+49,5.172380e+46,6.606552e+02,0.99848864,3.676317e+13,3.806380e+12,3.689540e+13,9.658304e+00,0.835872
2.01043,3.593160e+49,6.212090e+46,5.784140e+02,0.99827412,4.411177e+13,4.143501e+12,4.426491e+13,1.064601e+01,1.002830
2.18001,3.719100e+49,7.235730e+46,5.139910e+02,0.99805822,4.900445e+13,4.588812e+12,4.911328e+13,1.067911e+01,1.112671
2.35842,3.745460e+49,9.301100e+46,4.026900e+02,0.99752285,5.241890e+13,6.051370e+12,5.253837e+13,8.662320e+00,1.190267
2.52357,3.663280e+49,1.172630e+47,3.123986e+02,0.99680918,5.359227e+13,8.875137e+12,5.371882e+13,6.038472e+00,1.217010
2.64991,3.534400e+49,1.459960e+47,2.420888e+02,0.99588628,5.312363e+13,1.005938e+13,5.331116e+13,5.281002e+00,1.207774
2.82896,3.309480e+49,2.025160e+47,1.634182e+02,0.99391795,5.191553e+13,1.414287e+13,5.211369e+13,3.670792e+00,1.180645
3.01424,3.047360e+49,2.981250e+47,1.022175e+02,0.99031172,4.942346e+13,1.893814e+13,4.945784e+13,2.609732e+00,1.120477
3.19795,2.884590e+49,3.941720e+47,7.318100e+01,0.98651946,4.899771e+13,2.236929e+13,4.911044e+13,2.190401e+00,1.112606
3.37387,2.856850e+49,4.749350e+47,6.015244e+01,0.98364742,4.931286e+13,2.345112e+13,4.951988e+13,2.102793e+00,1.121882
