# 192^3, campo de t = 12 a 60 s, de bt_bp_192_full.txt (166 plotfiles).
# Fecha a lacuna que deixava o painel (c) do Relatorio II com um ponto solto.
t,E_tor,E_pol,B_max_G,M_Msun
12.00000,2.94698e+48,1.30536e+47,3.60458e+13,2.00160e+00
12.50064,2.38158e+48,1.10403e+47,3.04239e+13,2.00370e+00
13.00114,2.04161e+48,1.68959e+47,3.02076e+13,2.00404e+00
13.50364,1.84128e+48,1.34226e+47,3.19562e+13,2.00190e+00
14.00288,1.50443e+48,8.01210e+46,2.52734e+13,2.00383e+00
14.50386,1.36275e+48,3.69071e+46,2.41578e+13,2.00441e+00
15.00181,1.26700e+48,2.29877e+46,2.53959e+13,2.00222e+00
15.50345,1.05859e+48,2.74453e+46,2.26742e+13,2.00410e+00
16.00355,9.50835e+47,3.34921e+46,2.31569e+13,2.00455e+00
16.50077,8.93685e+47,2.85663e+46,2.45077e+13,2.00255e+00
17.00316,7.30972e+47,2.72263e+46,1.92505e+13,2.00422e+00
17.50086,6.55182e+47,2.61060e+46,1.88564e+13,2.00471e+00
18.00162,5.79851e+47,2.85164e+46,1.86947e+13,2.00279e+00
18.50152,5.02083e+47,1.95283e+46,1.57489e+13,2.00464e+00
19.00124,4.53586e+47,1.94356e+46,1.56380e+13,2.00485e+00
19.50297,4.05796e+47,1.63528e+46,1.57083e+13,2.00316e+00
20.00312,3.67377e+47,1.34610e+46,1.35208e+13,2.00486e+00
20.50249,3.30748e+47,8.83647e+45,1.29895e+13,2.00485e+00
21.00140,2.89673e+47,5.97680e+45,1.21387e+13,2.00344e+00
21.50289,2.76083e+47,6.10773e+45,1.08385e+13,2.00521e+00
22.00139,2.43574e+47,4.27998e+45,1.06613e+13,2.00508e+00
22.50198,2.00571e+47,3.28900e+45,1.02360e+13,2.00376e+00
23.00354,1.96435e+47,3.41916e+45,8.74661e+12,2.00550e+00
23.50131,1.66172e+47,3.14617e+45,9.06003e+12,2.00506e+00
24.00216,1.32824e+47,3.41037e+45,7.59959e+12,2.00411e+00
24.50012,1.31870e+47,3.48843e+45,6.66557e+12,2.00581e+00
25.00020,1.00131e+47,3.44904e+45,6.47614e+12,2.00517e+00
25.50078,8.51862e+46,3.32451e+45,5.70371e+12,2.00441e+00
26.00058,8.62041e+46,3.04449e+45,4.46931e+12,2.00612e+00
26.50317,6.25595e+46,2.95911e+45,4.68978e+12,2.00516e+00
27.00018,5.42183e+46,2.64231e+45,3.89744e+12,2.00474e+00
27.50287,5.38658e+46,2.50548e+45,3.10885e+12,2.00637e+00
28.00294,4.12127e+46,2.19974e+45,3.05886e+12,2.00519e+00
28.50364,3.84800e+46,1.99880e+45,2.29573e+12,2.00512e+00
29.00394,3.95710e+46,1.82496e+45,1.72893e+12,2.00666e+00
29.50143,3.38801e+46,1.72655e+45,1.66654e+12,2.00525e+00
30.00321,3.44918e+46,1.58040e+45,1.33468e+12,2.00547e+00
30.50144,3.53113e+46,1.55816e+45,1.45317e+12,2.00683e+00
31.00031,3.27748e+46,1.40332e+45,1.45419e+12,2.00527e+00
31.50288,3.36482e+46,1.38626e+45,1.32689e+12,2.00582e+00
32.00301,3.53925e+46,1.47214e+45,1.40613e+12,2.00701e+00
32.50160,3.31424e+46,1.19083e+45,1.15946e+12,2.00539e+00
33.00012,3.35939e+46,1.36296e+45,1.36420e+12,2.00616e+00
33.50167,3.37353e+46,1.20468e+45,1.46974e+12,2.00710e+00
34.00127,3.16541e+46,1.15588e+45,1.07056e+12,2.00550e+00
34.50318,3.25051e+46,1.21083e+45,1.21551e+12,2.00655e+00
35.00115,3.20412e+46,1.21580e+45,1.31980e+12,2.00722e+00
35.50121,3.03384e+46,1.05984e+45,1.19964e+12,2.00569e+00
36.00115,3.05930e+46,1.22118e+45,1.30749e+12,2.00689e+00
36.50358,2.96234e+46,1.16297e+45,1.23315e+12,2.00726e+00
37.00092,2.87025e+46,1.11575e+45,1.24530e+12,2.00590e+00
37.50005,2.84268e+46,1.31065e+45,1.43479e+12,2.00726e+00
