# 256^3 magnetised run, dir_rot256, first 44 plotfiles (t = 0 to 5.137 s).
# tools/fbtbp.cpp with rho_cut = 1.0e5 g/cm^3. Same columns as bt_bp_192.csv.
# These are the plotfiles of the FIRST attempt, written at cfl = 0.5 and
# plot_int = 50, before the run died at t = 5.146 and was restarted at
# cfl = 0.3. They are the convergence data against the 192^3 run.
t,E_tor,E_pol,Et_over_Ep,Et_over_Emag,Btor_max_G,Bpol_max_G,B_max_G,Bt_over_Bp_amp,B_over_Bc,M_Msun,R_eq_e8,R_pol_e8,R_vol_e8,Rpol_over_Req
0.000000e+00,6.056410e+49,1.160100e+44,5.220580e+05,9.999981e-01,3.204070e+13,8.413520e+10,3.204070e+13,3.808250e+02,7.258890e-01,2.006460e+00,3.750370e+00,1.617190e+00,3.069210e+00,4.312000e-01
3.203000e-02,6.060660e+49,8.346550e+43,7.261280e+05,9.999986e-01,3.236690e+13,1.177680e+11,3.236690e+13,2.748350e+02,7.332780e-01,2.006380e+00,3.768780e+00,1.617190e+00,3.057270e+00,4.291000e-01
1.703400e-01,6.058900e+49,1.398140e+45,4.333550e+04,9.999769e-01,3.685270e+13,5.582230e+11,3.685310e+13,6.601800e+01,8.349130e-01,2.006260e+00,3.710610e+00,1.617190e+00,3.027450e+00,4.358000e-01
3.085900e-01,6.047550e+49,2.760850e+45,2.190470e+04,9.999543e-01,4.138670e+13,9.723180e+11,4.138920e+13,4.256490e+01,9.376800e-01,2.006260e+00,3.699270e+00,1.617190e+00,3.022250e+00,4.372000e-01
4.468600e-01,5.980410e+49,5.220790e+45,1.145500e+04,9.999127e-01,4.543770e+13,1.466480e+12,4.543960e+13,3.098410e+01,1.029440e+00,2.006270e+00,3.700600e+00,1.617190e+00,3.021170e+00,4.370000e-01
5.852200e-01,5.825960e+49,8.005290e+45,7.277630e+03,9.998626e-01,4.726400e+13,2.005970e+12,4.726830e+13,2.356170e+01,1.070870e+00,2.006280e+00,3.700600e+00,1.617190e+00,3.020120e+00,4.370000e-01
7.237500e-01,5.587330e+49,1.045510e+46,5.344130e+03,9.998129e-01,4.731660e+13,2.568020e+12,4.731660e+13,1.842540e+01,1.071970e+00,2.006290e+00,3.691240e+00,1.617190e+00,3.019650e+00,4.381000e-01
8.626200e-01,5.257490e+49,1.418470e+46,3.706450e+03,9.997303e-01,4.523670e+13,2.906410e+12,4.523940e+13,1.556450e+01,1.024910e+00,2.006300e+00,3.683870e+00,1.617190e+00,3.020660e+00,4.390000e-01
9.910000e-01,4.802620e+49,1.761940e+46,2.725760e+03,9.996333e-01,4.022120e+13,2.659870e+12,4.022300e+13,1.512150e+01,9.112610e-01,2.006340e+00,3.686550e+00,1.687500e+00,3.030810e+00,4.577000e-01
1.128560e+00,4.380970e+49,1.615180e+46,2.712370e+03,9.996315e-01,3.717380e+13,2.316980e+12,3.717480e+13,1.604410e+01,8.422020e-01,2.006450e+00,3.679160e+00,1.757810e+00,3.069790e+00,4.778000e-01
