# confinement gain along the 2 Msun braking sequence, mu_e=2.0, Nr=65, zeta=1.0, k0=1.000e-13
# B_c=4.4140e+13 G; lines C+C=3.000e+09, 20Ne=9.600e+09, 16O=1.940e+10
rho_c,M_msun,closed_volume_fraction,Bt_spacefilling_G,Bt_sf_over_Bc,Bt_confined_G,Bt_conf_over_Bc,gain,B_pole_G
8.000000e+08,2.002741e+00,3.674453e-01,3.702691e+13,8.388517e-01,1.377409e+13,3.120545e-01,2.688157e+00,5.425811e+10
1.103784e+09,1.997192e+00,3.739020e-01,4.553439e+13,1.031590e+00,1.694236e+13,3.838324e-01,2.687606e+00,6.077483e+10
1.522923e+09,1.997830e+00,3.728419e-01,5.610615e+13,1.271095e+00,2.082934e+13,4.718925e-01,2.693612e+00,6.729481e+10
2.101222e+09,1.998102e+00,3.745622e-01,6.915434e+13,1.566704e+00,2.550437e+13,5.778063e-01,2.711470e+00,7.411707e+10
2.899119e+09,1.998361e+00,3.784126e-01,8.526634e+13,1.931725e+00,3.111085e+13,7.048221e-01,2.740727e+00,8.125442e+10
4.000000e+09,1.998588e+00,3.808466e-01,1.051594e+14,2.382407e+00,3.801080e+13,8.611418e-01,2.766568e+00,8.874842e+10
5.518919e+09,1.998788e+00,3.798689e-01,1.297442e+14,2.939380e+00,4.651338e+13,1.053769e+00,2.789396e+00,9.665685e+10
7.614616e+09,1.998963e+00,3.872433e-01,1.603066e+14,3.631777e+00,5.668616e+13,1.284236e+00,2.827968e+00,1.050427e+11
1.050611e+10,1.999117e+00,3.918384e-01,1.980802e+14,4.487544e+00,6.917086e+13,1.567079e+00,2.863637e+00,1.139842e+11
1.449559e+10,1.999252e+00,3.877426e-01,2.447388e+14,5.544604e+00,8.498907e+13,1.925443e+00,2.879650e+00,1.235694e+11
2.000000e+10,1.999369e+00,3.967871e-01,3.025782e+14,6.854966e+00,1.033988e+14,2.342519e+00,2.926323e+00,1.338966e+11
