# Central density and axial angular momentum of the 192^3 magnetised run,
# read from the TIME= diagnostics of run_rot192.log on the cluster.
# t < 12 is the original run (sampled every ~0.5 s); t > 12 is the
# continuation from chk03436, still running at the time of writing.
# The continuation writes into the same appended log, so the two segments
# are one evolution and not two runs.
t,rho_max,Lz
0.000,3.0000e9,1.97971e50
0.363,2.6549e9,2.01820e50
0.870,1.8404e9,2.21566e50
1.435,8.5097e8,2.21965e50
2.005,1.1623e9,2.21760e50
2.482,1.3463e9,2.19895e50
2.911,1.0654e9,2.19615e50
3.406,8.8627e8,2.19632e50
3.887,1.1639e9,2.19586e50
4.249,1.2439e9,2.19253e50
4.728,9.3827e8,2.19221e50
5.221,9.0155e8,2.19204e50
5.687,1.4138e9,2.18692e50
6.151,1.1267e9,2.18587e50
6.684,1.0241e9,2.18555e50
7.198,1.3589e9,2.18344e50
7.556,1.3105e9,2.17896e50
8.038,1.0631e9,2.17854e50
8.516,1.1974e9,2.17835e50
8.983,1.4490e9,2.17304e50
9.474,1.1259e9,2.17211e50
9.991,1.1851e9,2.17216e50
10.489,1.5137e9,2.16728e50
10.993,1.1585e9,2.16649e50
11.550,1.2598e9,2.16675e50
11.969,1.5153e9,2.16287e50
12.030,1.5140e9,2.16278e50
12.120,1.4787e9,2.16267e50
12.220,1.4279e9,2.16255e50
12.320,1.3665e9,2.16240e50
12.410,1.2862e9,2.16225e50
12.510,1.1965e9,2.16215e50
12.600,1.1392e9,2.16211e50
12.710,1.1080e9,2.16211e50
12.810,1.1100e9,2.16217e50
12.910,1.1436e9,2.16228e50
13.010,1.2203e9,2.16230e50
13.110,1.2984e9,2.16200e50
13.200,1.3900e9,2.16144e50
13.300,1.4767e9,2.16083e50
13.380,1.5176e9,2.16003e50
13.470,1.5308e9,2.15938e50
13.560,1.5143e9,2.15917e50
13.650,1.4630e9,2.15906e50
13.750,1.3912e9,2.15892e50
13.830,1.3255e9,2.15879e50
13.930,1.2491e9,2.15865e50
14.030,1.1891e9,2.15853e50
14.110,1.1561e9,2.15847e50
14.220,1.1384e9,2.15845e50
14.320,1.1477e9,2.15850e50
14.420,1.1916e9,2.15859e50
14.520,1.2570e9,2.15858e50
14.610,1.3322e9,2.15834e50
14.710,1.4163e9,2.15778e50
14.800,1.4817e9,2.15693e50
14.890,1.5230e9,2.15609e50
14.960,1.5298e9,2.15578e50
15.050,1.5163e9,2.15569e50
15.140,1.4720e9,2.15556e50
15.230,1.4138e9,2.15540e50
15.330,1.3485e9,2.15523e50
15.430,1.2800e9,2.15506e50
15.530,1.2165e9,2.15495e50
15.620,1.1714e9,2.15490e50
15.720,1.1465e9,2.15489e50
15.820,1.1513e9,2.15496e50
15.920,1.1810e9,2.15507e50
16.020,1.2406e9,2.15503e50
16.120,1.3177e9,2.15459e50
16.220,1.4004e9,2.15380e50
16.310,1.4812e9,2.15313e50
16.400,1.5295e9,2.15262e50
16.490,1.5400e9,2.15231e50
16.590,1.5231e9,2.15219e50
16.680,1.4744e9,2.15208e50
16.780,1.4002e9,2.15193e50
16.870,1.3084e9,2.15179e50
16.970,1.2259e9,2.15166e50
17.070,1.1691e9,2.15157e50
17.170,1.1436e9,2.15154e50
17.280,1.1454e9,2.15158e50
17.380,1.1818e9,2.15166e50
17.480,1.2413e9,2.15171e50
17.580,1.3135e9,2.15159e50
17.670,1.3963e9,2.15119e50
17.770,1.4685e9,2.15047e50
17.860,1.5129e9,2.14957e50
17.960,1.5279e9,2.14920e50
18.050,1.5054e9,2.14910e50
18.140,1.4578e9,2.14898e50
18.240,1.3951e9,2.14883e50
18.340,1.3255e9,2.14867e50
18.430,1.2621e9,2.14851e50
18.530,1.2049e9,2.14841e50
18.630,1.1656e9,2.14835e50
18.740,1.1568e9,2.14836e50
18.840,1.1800e9,2.14843e50
18.940,1.2246e9,2.14850e50
19.040,1.2890e9,2.14841e50
19.130,1.3641e9,2.14793e50
19.230,1.4415e9,2.14719e50
19.320,1.4876e9,2.14678e50
19.370,1.5136e9,2.14662e50
19.450,1.5297e9,2.14641e50
19.530,1.5161e9,2.14630e50
19.620,1.4766e9,2.14617e50
19.720,1.4214e9,2.14603e50
19.810,1.3474e9,2.14588e50
19.910,1.2631e9,2.14575e50
20.010,1.1979e9,2.14565e50
20.110,1.1590e9,2.14561e50
20.210,1.1510e9,2.14561e50
20.310,1.1705e9,2.14568e50
20.410,1.2166e9,2.14572e50
20.510,1.2844e9,2.14557e50
20.610,1.3722e9,2.14522e50
20.710,1.4475e9,2.14473e50
20.800,1.5034e9,2.14412e50
20.890,1.5323e9,2.14373e50
20.980,1.5245e9,2.14365e50
21.080,1.4865e9,2.14356e50
21.170,1.4251e9,2.14343e50
21.270,1.3486e9,2.14326e50
21.360,1.2759e9,2.14311e50
21.460,1.2155e9,2.14299e50
21.560,1.1755e9,2.14292e50
21.660,1.1587e9,2.14291e50
21.770,1.1707e9,2.14296e50
21.870,1.2116e9,2.14304e50
21.970,1.2744e9,2.14302e50
22.060,1.3486e9,2.14270e50
22.160,1.4211e9,2.14201e50
