# non-barotropic mixed equilibrium, k0=1.000e-13, zeta=1.0, beta_0=9.516299e+21
# reference M=1.3464 Msun, |W|=2.256911e+51; E_tor/|W|=0.0000, E_pol/|W|=0.000000
iter,M_msun,P_min,rho_min,frac_rho_negative,P_rho_spread
1,1.347447,0.000000e+00,-2.747076e+11,5.817884e-04,2.729728e-01
2,1.347489,0.000000e+00,-2.550025e+11,5.817884e-04,2.543286e-01
3,1.347483,0.000000e+00,-2.419531e+11,5.817884e-04,2.598892e-01
4,1.347450,0.000000e+00,-2.323657e+11,5.817884e-04,2.598892e-01
5,1.347412,0.000000e+00,-2.247407e+11,5.817884e-04,2.462166e-01
6,1.347381,0.000000e+00,-2.182932e+11,5.817884e-04,2.181022e-01
7,1.347359,0.000000e+00,-2.125833e+11,5.817884e-04,2.181022e-01
8,1.347345,0.000000e+00,-2.073536e+11,5.817884e-04,2.181022e-01
9,1.347336,0.000000e+00,-2.024500e+11,5.817884e-04,2.181022e-01
10,1.347331,0.000000e+00,-1.977795e+11,5.817884e-04,2.181023e-01
11,1.347328,0.000000e+00,-1.952052e+11,5.817884e-04,2.462167e-01
12,1.347326,0.000000e+00,-1.974583e+11,5.896505e-04,2.181023e-01
13,1.347325,0.000000e+00,-2.003482e+11,5.896505e-04,2.181024e-01
14,1.347324,0.000000e+00,-2.038305e+11,5.896505e-04,4.280189e-02
15,1.347323,0.000000e+00,-2.078781e+11,5.896505e-04,3.864779e-03
16,1.347323,0.000000e+00,-2.124771e+11,5.896505e-04,2.395016e-05
17,1.347323,0.000000e+00,-2.176254e+11,5.896505e-04,2.865376e-01
18,1.347322,0.000000e+00,-2.233306e+11,5.896505e-04,2.237062e-01
19,1.347322,0.000000e+00,-2.296098e+11,5.896505e-04,1.415990e-01
20,1.347322,0.000000e+00,-2.364892e+11,5.896505e-04,4.791543e-02
21,1.347322,0.000000e+00,-2.440043e+11,5.896505e-04,1.480043e-02
22,1.347322,0.000000e+00,-2.522005e+11,5.896505e-04,2.408540e-05
23,1.347322,0.000000e+00,-2.611338e+11,5.896505e-04,1.271652e-01
24,1.347322,0.000000e+00,-2.708726e+11,5.896505e-04,9.731484e-02
25,1.347322,0.000000e+00,-2.814993e+11,5.896505e-04,4.791549e-02
