mode,description,rho_c_gcm3,mu_e,K_toroidal,m_tor,k0_poloidal,lmax_poloidal,rotation_type,Omega_c_rad_s,A_over_Req,M_Msun,VE,VE_certified,B_tor_max_G,B_pol_max_G,Bt_Bp_energy,Bt_Bp_amplitude,T_over_W,equatorial_mass_loss_ratio,is_interpolated_M2_crossing,domain_mult,notes
1_toroidal_only,field-free baseline,1000000000.0,2.0,0.0,1.0,0.0,16,none,0.0,0.0,1.3462,0.0001031,True,0.0,0.0,,,,,False,20,
1_toroidal_only,toroidal only,1000000000.0,2.0,0.0001,1.0,0.0,16,none,0.0,0.0,1.3469,0.0001023,True,3008000000000.0,0.0,,,,,False,20,
1_toroidal_only,toroidal only,1000000000.0,2.0,0.0003,1.0,0.0,16,none,0.0,0.0,1.3526,9.959e-05,True,8846000000000.0,0.0,,,,,False,20,
1_toroidal_only,toroidal only,1000000000.0,2.0,0.0006,1.0,0.0,16,none,0.0,0.0,1.3715,8.896e-05,True,16650000000000.0,0.0,,,,,False,20,
1_toroidal_only,toroidal only,1000000000.0,2.0,0.001,1.0,0.0,16,none,0.0,0.0,1.415,6.357e-05,True,24780000000000.0,0.0,,,,,False,20,
1_toroidal_only,toroidal only,1000000000.0,2.0,0.0015,1.0,0.0,16,none,0.0,0.0,1.4962,1.101e-05,True,31750000000000.0,0.0,,,,,False,20,
1_toroidal_only,toroidal only,1000000000.0,2.0,0.002,1.0,0.0,16,none,0.0,0.0,1.6053,7.964e-05,True,36380000000000.0,0.0,,,,,False,20,
1_toroidal_only,toroidal only,1000000000.0,2.0,0.0025,1.0,0.0,16,none,0.0,0.0,1.742,0.0002336,True,39580000000000.0,0.0,,,,,False,20,
1_toroidal_only,toroidal only,1000000000.0,2.0,0.003,1.0,0.0,16,none,0.0,0.0,1.9076,0.000499,True,41880000000000.0,0.0,,,,,False,20,
1_toroidal_only,toroidal only,1000000000.0,2.0,0.0031,1.0,0.0,16,none,0.0,0.0,1.9443,0.0005707,True,42255000000000.0,0.0,,,,,False,20,
1_toroidal_only,toroidal only,1000000000.0,2.0,0.0032,1.0,0.0,16,none,0.0,0.0,1.9824,0.0006499,True,42596000000000.0,0.0,,,,,False,20,
1_toroidal_only,toroidal only,1000000000.0,2.0,0.0033,1.0,0.0,16,none,0.0,0.0,2.0217,0.0007382,True,42935000000000.0,0.0,,,,,False,20,
1_toroidal_only,toroidal only,1000000000.0,2.0,0.0034,1.0,0.0,16,none,0.0,0.0,2.0623,0.0008365,True,43264000000000.0,0.0,,,,,False,20,
1_toroidal_only,toroidal only,1000000000.0,2.0,0.0035,1.0,0.0,16,none,0.0,0.0,2.1043,0.0009458,True,43562000000000.0,0.0,,,,,False,20,
1_toroidal_only,"toroidal only (NOT certified, VE>=1e-3, context only)",1000000000.0,2.0,0.004,1.0,0.0,16,none,0.0,0.0,2.3351,0.001698,False,44830000000000.0,0.0,,,,,False,20,"VE fails -- shown for context, not trustworthy"
