om_frac,a_frac,k_tor,status,M_msun,T_over_W,shed,R_eq,ve
0.0,1.0,0.0,ok,1.386779267460252,0.0,0.0,182566680.45964178,nan
0.5,1.0,0.0,ok,1.4160958096272926,0.007020595435302297,0.04310674791556447,188862083.2341122,nan
0.5,2.0,0.0,ok,1.4297084015864652,0.010260732983655388,0.1532366565249963,198305187.39581782,nan
0.5,3.0,0.0,ok,1.4342260295007254,0.011325213426531727,0.22943341133535947,203026739.47667062,nan
0.5,4.0,0.0,no convergence,,,,,
0.8,1.0,0.0,ok,1.4665236892858962,0.01840084073283893,0.10922309093927746,199879038.0894354,nan
0.8,2.0,0.0,ok,1.518016906164232,0.02936259517167334,0.5406549263997064,251816110.97881627,nan
0.8,3.0,0.0,no convergence,,,,,
0.8,4.0,0.0,no convergence,,,,,
1.0,1.0,0.0,ok,1.5189771086681882,0.02940211152868559,0.16835632227608255,212469843.63837624,nan
1.0,2.0,0.0,no convergence,,,,,
1.0,3.0,0.0,no convergence,,,,,
1.0,4.0,0.0,no convergence,,,,,
1.2,1.0,0.0,ok,1.5923230539908895,0.04354092251249691,0.23565401932012886,229782201.26816985,nan
1.2,2.0,0.0,no convergence,,,,,
1.2,3.0,0.0,no convergence,,,,,
1.2,4.0,0.0,no convergence,,,,,
1.5,1.0,0.0,ok,1.761222940682392,0.07162772227931012,0.3359774260417626,267554617.91499227,nan
1.5,2.0,0.0,no convergence,,,,,
1.5,3.0,0.0,no convergence,,,,,
1.5,4.0,0.0,no convergence,,,,,
