# Angular momentum and rotation profile of the 192^3 run, t = 0 to 60 s.
# tools/fbtbp.cpp over cells with rho > 1.0e5 g/cm^3 -- the star, not the box.
# Lz in g cm^2/s; Omega in rad/s, mass-weighted inside cylindrical shells at
# varpi < 0.15 R_eq (core), 0.45-0.55 (mid) and 0.65-0.75 (out).
# Lz_inner and Lz_outer split the star at the radius enclosing half the MASS
# (r_half, in 1e8 cm), recomputed at every snapshot: a shell at fixed radius
# would measure the 14% pulsation rather than the transport.
t,Lz_star,Om_mean,Om_core,Om_mid,Om_out,Lz_inner,Lz_outer,Lz_ratio,r_half
0.00000,1.97932e+50,4.76131,7.86124,3.88055,2.56061,2.43238e+49,1.73608e+50,7.13739,0.673279
0.22702,1.99424e+50,4.75129,7.76479,3.88393,2.56179,2.35835e+49,1.75841e+50,7.45608,0.673279
0.41130,2.02907e+50,4.73471,7.75024,3.87531,2.56268,2.89365e+49,1.73970e+50,6.01215,0.722245
0.59587,2.08788e+50,4.69508,7.68407,3.86313,2.56368,3.12484e+49,1.77540e+50,5.68155,0.746727
0.78090,2.17905e+50,4.61447,7.57024,3.84124,2.56216,3.36422e+49,1.84263e+50,5.47712,0.771210
0.96880,2.22299e+50,4.17044,6.95658,3.66398,2.53859,3.60252e+49,1.86274e+50,5.17065,0.869142
1.17046,2.22217e+50,3.43717,6.36174,3.22986,2.37357,3.38060e+49,1.88411e+50,5.57329,0.942590
1.38658,2.22014e+50,2.93142,6.13303,2.96154,2.14604,3.57425e+49,1.86272e+50,5.21150,1.016040
1.81233,2.21809e+50,2.86105,6.86941,3.04185,2.10132,3.51807e+49,1.86628e+50,5.30485,0.967073
2.18001,2.21376e+50,3.71267,7.91467,3.53836,2.34563,3.45757e+49,1.86800e+50,5.40265,0.869142
2.52357,2.19765e+50,4.24435,7.84678,3.66651,2.67741,3.47734e+49,1.84992e+50,5.31992,0.869142
2.82896,2.19617e+50,3.61256,7.46022,3.36651,2.35517,3.56752e+49,1.83941e+50,5.15600,0.918108
3.19795,2.19622e+50,2.93657,7.16620,3.04781,2.11086,3.51445e+49,1.84478e+50,5.24912,0.967073
3.55328,2.19567e+50,3.11448,7.24433,3.15539,2.19342,3.37481e+49,1.85819e+50,5.50606,0.942590
3.89864,2.19568e+50,3.96469,7.91451,3.53760,2.49029,3.63020e+49,1.83266e+50,5.04837,0.893625
4.17164,2.19269e+50,4.26908,8.16220,3.65854,2.59040,3.57575e+49,1.83511e+50,5.13211,0.869142
4.47636,2.19219e+50,3.71670,7.82302,3.43169,2.31600,3.58575e+49,1.83362e+50,5.11363,0.893625
4.83504,2.19224e+50,3.06969,6.81121,3.08944,2.14758,3.51680e+49,1.84056e+50,5.23362,0.967073
5.19541,2.19206e+50,3.26551,6.74048,3.17247,2.19014,3.66146e+49,1.82591e+50,4.98685,0.967073
5.54413,2.18849e+50,4.05987,7.50067,3.55262,2.42128,3.53541e+49,1.83495e+50,5.19021,0.869142
5.87757,2.18630e+50,4.41199,7.77930,3.71446,2.49127,3.51734e+49,1.83456e+50,5.21576,0.844659
6.22185,2.18572e+50,3.57967,6.71427,3.29008,2.28961,3.56075e+49,1.82964e+50,5.13836,0.918108
6.61204,2.18548e+50,3.19231,6.46851,3.14508,2.14929,3.51069e+49,1.83441e+50,5.22521,0.942590
7.00592,2.18599e+50,3.79027,7.17427,3.46511,2.28798,3.51708e+49,1.83428e+50,5.21537,0.869142
7.42742,2.17919e+50,4.42701,7.24012,3.70819,2.61127,3.41718e+49,1.83747e+50,5.37714,0.844659
7.77457,2.17864e+50,3.74024,6.76713,3.39598,2.25506,3.66422e+49,1.81222e+50,4.94572,0.893625
8.11796,2.17857e+50,3.28430,6.26117,3.17675,2.14733,3.64719e+49,1.81385e+50,4.97328,0.942590
8.45480,2.17861e+50,3.63958,6.60355,3.34521,2.25279,3.51584e+49,1.82703e+50,5.19657,0.893625
8.80664,2.17393e+50,4.42029,7.38123,3.67051,2.48670,3.53298e+49,1.82063e+50,5.15325,0.844659
9.14037,2.17254e+50,4.25160,7.17073,3.62121,2.38086,3.42848e+49,1.82969e+50,5.33675,0.844659
9.51362,2.17209e+50,3.46808,6.19268,3.23944,2.18834,3.58784e+49,1.81330e+50,5.05402,0.918108
9.88454,2.17223e+50,3.51979,6.16578,3.27001,2.19237,3.68059e+49,1.80417e+50,4.90185,0.918108
10.25948,2.16946e+50,4.30652,7.08489,3.61710,2.36540,3.52149e+49,1.81731e+50,5.16062,0.844659
10.61621,2.16709e+50,4.40011,7.00094,3.66854,2.38469,3.50520e+49,1.81657e+50,5.18251,0.844659
10.98903,2.16649e+50,3.57978,6.13309,3.27965,2.19657,3.73864e+49,1.79262e+50,4.79485,0.918108
11.39807,2.16659e+50,3.53564,6.14312,3.28793,2.17819,3.76470e+49,1.79012e+50,4.75501,0.918108
11.78785,2.16412e+50,4.32470,6.91572,3.60678,2.35801,3.48248e+49,1.81587e+50,5.21431,0.844659
