# plotfile = plt00000
# time = 0 s
# plane: y = 0 cm (requested 0, cell 96)
# grid: 192 x 192, dx = 9375000, dz = 9375000 cm
# fields in GAUSS (Heaviside-Lorentz state x sqrt(4 pi)); density in g/cm^3
# x z density B_x B_y B_z
-9.0000000e+08 -9.0000000e+08 2.0000000e+04 2.5798948e+06 0.0000000e+00 8.9107504e+05
-8.9062500e+08 -9.0000000e+08 2.0000000e+04 2.6190031e+06 0.0000000e+00 9.3213276e+05
-8.8125000e+08 -9.0000000e+08 2.0000000e+04 2.6595311e+06 0.0000000e+00 9.7628917e+05
-8.7187500e+08 -9.0000000e+08 2.0000000e+04 2.7006482e+06 0.0000000e+00 1.0214668e+06
-8.6250000e+08 -9.0000000e+08 2.0000000e+04 2.7408021e+06 0.0000000e+00 1.0670081e+06
-8.5312500e+08 -9.0000000e+08 2.0000000e+04 2.7794003e+06 0.0000000e+00 1.1122212e+06
-8.4375000e+08 -9.0000000e+08 2.0000000e+04 2.8198382e+06 0.0000000e+00 1.1610693e+06
-8.3437500e+08 -9.0000000e+08 2.0000000e+04 2.8627797e+06 0.0000000e+00 1.2131941e+06
-8.2500000e+08 -9.0000000e+08 2.0000000e+04 2.9055456e+06 0.0000000e+00 1.2667063e+06
-8.1562500e+08 -9.0000000e+08 2.0000000e+04 2.9436805e+06 0.0000000e+00 1.3175324e+06
-8.0625000e+08 -9.0000000e+08 2.0000000e+04 2.9823718e+06 0.0000000e+00 1.3696621e+06
-7.9687500e+08 -9.0000000e+08 2.0000000e+04 3.0264794e+06 0.0000000e+00 1.4291491e+06
-7.8750000e+08 -9.0000000e+08 2.0000000e+04 3.0714463e+06 0.0000000e+00 1.4914623e+06
-7.7812500e+08 -9.0000000e+08 2.0000000e+04 3.1096278e+06 0.0000000e+00 1.5489174e+06
-7.6875000e+08 -9.0000000e+08 2.0000000e+04 3.1461400e+06 0.0000000e+00 1.6051088e+06
