# plotfile = plt00400
# time = 1.386580665 s
# plane: z = 0 cm (requested 0, cell 96)
# grid: 192 x 192, dx = 9375000, dy = 9375000 cm
# fields in GAUSS (Heaviside-Lorentz state x sqrt(4 pi)); density in g/cm^3
# x y density B_x B_y B_z
-9.0000000e+08 -9.0000000e+08 2.0002741e+04 -1.8916682e-03 -1.8916995e-03 -1.7543919e+06
-8.9062500e+08 -9.0000000e+08 2.0002295e+04 -1.8852849e-03 -5.6561760e-03 -1.7765194e+06
-8.8125000e+08 -9.0000000e+08 2.0001944e+04 -1.8713232e-03 -9.7366807e-03 -1.8099710e+06
-8.7187500e+08 -9.0000000e+08 2.0001920e+04 -1.8502258e-03 -1.3878088e-02 -1.8355087e+06
-8.6250000e+08 -9.0000000e+08 2.0001930e+04 -1.8262228e-03 -1.8194137e-02 -1.8660945e+06
-8.5312500e+08 -9.0000000e+08 2.0001990e+04 -1.8065670e-03 -2.2635481e-02 -1.8953802e+06
-8.4375000e+08 -9.0000000e+08 2.0002057e+04 -1.7866000e-03 -2.7229906e-02 -1.9243547e+06
-8.3437500e+08 -9.0000000e+08 2.0002121e+04 -1.7660850e-03 -3.2016245e-02 -1.9568472e+06
-8.2500000e+08 -9.0000000e+08 2.0002185e+04 -1.7473798e-03 -3.6903082e-02 -1.9848292e+06
-8.1562500e+08 -9.0000000e+08 2.0002252e+04 -1.7272157e-03 -4.2069880e-02 -2.0198660e+06
-8.0625000e+08 -9.0000000e+08 2.0002322e+04 -1.7130797e-03 -4.7288197e-02 -2.0479612e+06
-7.9687500e+08 -9.0000000e+08 2.0002393e+04 -1.6966714e-03 -5.2857305e-02 -2.0844737e+06
-7.8750000e+08 -9.0000000e+08 2.0002467e+04 -1.6819894e-03 -5.8430699e-02 -2.1133306e+06
-7.7812500e+08 -9.0000000e+08 2.0002543e+04 -1.6708265e-03 -6.4410864e-02 -2.1506493e+06
-7.6875000e+08 -9.0000000e+08 2.0002622e+04 -1.6545106e-03 -7.0413929e-02 -2.1805797e+06
-7.5937500e+08 -9.0000000e+08 2.0002702e+04 -1.6355490e-03 -7.6814152e-02 -2.2182496e+06
-7.5000000e+08 -9.0000000e+08 2.0002786e+04 -1.6067075e-03 -8.3327959e-02 -2.2507782e+06
-7.4062500e+08 -9.0000000e+08 2.0002871e+04 -1.5933218e-03 -9.0118474e-02 -2.2872657e+06
-7.3125000e+08 -9.0000000e+08 2.0002959e+04 -1.5880722e-03 -9.7191227e-02 -2.3238657e+06
-7.2187500e+08 -9.0000000e+08 2.0003050e+04 -1.5750200e-03 -1.0436881e-01 -2.3576119e+06
-7.1250000e+08 -9.0000000e+08 2.0003143e+04 -1.5571683e-03 -1.1206487e-01 -2.3979380e+06
-7.0312500e+08 -9.0000000e+08 2.0003239e+04 -1.5056532e-03 -1.1961084e-01 -2.4308657e+06
-6.9375000e+08 -9.0000000e+08 2.0003337e+04 -1.4889449e-03 -1.2795948e-01 -2.4710001e+06
-6.8437500e+08 -9.0000000e+08 2.0003438e+04 -1.5356494e-03 -1.3629665e-01 -2.5098781e+06
-6.7500000e+08 -9.0000000e+08 2.0003541e+04 -1.5268129e-03 -1.4480154e-01 -2.5446040e+06
-6.6562500e+08 -9.0000000e+08 2.0003648e+04 -1.4856122e-03 -1.5396193e-01 -2.5879248e+06
-6.5625000e+08 -9.0000000e+08 2.0003757e+04 -1.4740627e-03 -1.6313031e-01 -2.6254179e+06
-6.4687500e+08 -9.0000000e+08 2.0003869e+04 -1.4611419e-03 -1.7256425e-01 -2.6629701e+06
-6.3750000e+08 -9.0000000e+08 2.0003983e+04 -1.4533990e-03 -1.8265944e-01 -2.7069828e+06
-6.2812500e+08 -9.0000000e+08 2.0004100e+04 -1.4374253e-03 -1.9289520e-01 -2.7475045e+06
-6.1875000e+08 -9.0000000e+08 2.0004221e+04 -1.3772357e-03 -2.0328294e-01 -2.7851627e+06
-6.0937500e+08 -9.0000000e+08 2.0004343e+04 -1.3241247e-03 -2.1420787e-01 -2.8284820e+06
-6.0000000e+08 -9.0000000e+08 2.0004469e+04 -1.3827911e-03 -2.2543566e-01 -2.8718626e+06
-5.9062500e+08 -9.0000000e+08 2.0004598e+04 -1.3802759e-03 -2.3689829e-01 -2.9120620e+06
-5.8125000e+08 -9.0000000e+08 2.0004729e+04 -1.3399867e-03 -2.4863057e-01 -2.9534895e+06
-5.7187500e+08 -9.0000000e+08 2.0004863e+04 -1.3507240e-03 -2.6091704e-01 -2.9974199e+06
-5.6250000e+08 -9.0000000e+08 2.0005000e+04 -1.2993174e-03 -2.7363919e-01 -3.0425247e+06
-5.5312500e+08 -9.0000000e+08 2.0005140e+04 -1.1971920e-03 -2.8662380e-01 -3.0857641e+06
-5.4375000e+08 -9.0000000e+08 2.0005282e+04 -1.2380342e-03 -2.9957224e-01 -3.1277226e+06
-5.3437500e+08 -9.0000000e+08 2.0005427e+04 -1.2741184e-03 -3.1311707e-01 -3.1713929e+06
-5.2500000e+08 -9.0000000e+08 2.0005575e+04 -1.1593574e-03 -3.2713967e-01 -3.2160148e+06
-5.1562500e+08 -9.0000000e+08 2.0005725e+04 -1.2680048e-03 -3.4132561e-01 -3.2614912e+06
-5.0625000e+08 -9.0000000e+08 2.0005878e+04 -1.2466142e-03 -3.5610532e-01 -3.3071228e+06
-4.9687500e+08 -9.0000000e+08 2.0006033e+04 -1.1319167e-03 -3.7100854e-01 -3.3520351e+06
-4.8750000e+08 -9.0000000e+08 2.0006190e+04 -1.3341858e-03 -3.8617446e-01 -3.3967888e+06
-4.7812500e+08 -9.0000000e+08 2.0006350e+04 -1.2979346e-03 -4.0183728e-01 -3.4420092e+06
-4.6875000e+08 -9.0000000e+08 2.0006512e+04 -7.7051200e-04 -4.1779096e-01 -3.4869965e+06
-4.5937500e+08 -9.0000000e+08 2.0006676e+04 -4.8266933e-04 -4.3410151e-01 -3.5323347e+06
-4.5000000e+08 -9.0000000e+08 2.0006843e+04 -1.3038909e-03 -4.5012701e-01 -3.5779279e+06
-4.4062500e+08 -9.0000000e+08 2.0007011e+04 -2.0963247e-03 -4.6693959e-01 -3.6232826e+06
-4.3125000e+08 -9.0000000e+08 2.0007180e+04 -2.1732248e-03 -4.8408437e-01 -3.6685666e+06
-4.2187500e+08 -9.0000000e+08 2.0007352e+04 -2.3720269e-03 -5.0186362e-01 -3.7140053e+06
-4.1250000e+08 -9.0000000e+08 2.0007525e+04 -2.5863872e-03 -5.2022775e-01 -3.7591470e+06
-4.0312500e+08 -9.0000000e+08 2.0007699e+04 -2.9185456e-03 -5.3836280e-01 -3.8045450e+06
-3.9375000e+08 -9.0000000e+08 2.0007874e+04 -3.8150627e-03 -5.5830390e-01 -3.8496125e+06
-3.8437500e+08 -9.0000000e+08 2.0008051e+04 -4.4266903e-03 -5.7818060e-01 -3.8944830e+06
-3.7500000e+08 -9.0000000e+08 2.0008228e+04 -4.4382505e-03 -5.9680675e-01 -3.9399866e+06
-3.6562500e+08 -9.0000000e+08 2.0008405e+04 -4.5288922e-03 -6.1567789e-01 -3.9863397e+06
