# plotfile = plt01550
# time = 5.370637752 s
# plane: y = 0 cm (requested 0, cell 96)
# grid: 192 x 192, dx = 9375000, dz = 9375000 cm
# fields in GAUSS (Heaviside-Lorentz state x sqrt(4 pi)); density in g/cm^3
# x z density B_x B_y B_z
-9.0000000e+08 -9.0000000e+08 2.0008157e+04 2.5756788e+06 -1.1962856e-03 8.9292355e+05
-8.9062500e+08 -9.0000000e+08 2.0007503e+04 2.6146468e+06 -8.2040029e-03 9.3335432e+05
-8.8125000e+08 -9.0000000e+08 2.0006560e+04 2.6550061e+06 -9.6418990e-03 9.7982828e+05
-8.7187500e+08 -9.0000000e+08 2.0006116e+04 2.6961022e+06 -1.0523573e-02 1.0249310e+06
-8.6250000e+08 -9.0000000e+08 2.0006107e+04 2.7364593e+06 -1.1537927e-02 1.0701506e+06
-8.5312500e+08 -9.0000000e+08 2.0006135e+04 2.7751810e+06 -1.2512660e-02 1.1149886e+06
-8.4375000e+08 -9.0000000e+08 2.0006270e+04 2.8152681e+06 -1.3669179e-02 1.1636254e+06
-8.3437500e+08 -9.0000000e+08 2.0006457e+04 2.8578598e+06 -1.4805953e-02 1.2157350e+06
-8.2500000e+08 -9.0000000e+08 2.0006651e+04 2.9008435e+06 -1.5984035e-02 1.2692766e+06
-8.1562500e+08 -9.0000000e+08 2.0006840e+04 2.9395493e+06 -1.7297037e-02 1.3194193e+06
-8.0625000e+08 -9.0000000e+08 2.0007028e+04 2.9779383e+06 -1.8622220e-02 1.3715656e+06
-7.9687500e+08 -9.0000000e+08 2.0007221e+04 3.0212565e+06 -2.0127638e-02 1.4308397e+06
-7.8750000e+08 -9.0000000e+08 2.0007421e+04 3.0663713e+06 -2.1277750e-02 1.4933774e+06
-7.7812500e+08 -9.0000000e+08 2.0007629e+04 3.1055300e+06 -2.4119677e-02 1.5499778e+06
-7.6875000e+08 -9.0000000e+08 2.0007843e+04 3.1419493e+06 -2.4860060e-02 1.6061334e+06
-7.5937500e+08 -9.0000000e+08 2.0008063e+04 3.1847415e+06 -2.6626984e-02 1.6726852e+06
-7.5000000e+08 -9.0000000e+08 2.0008290e+04 3.2310178e+06 -2.7944782e-02 1.7444226e+06
-7.4062500e+08 -9.0000000e+08 2.0008524e+04 3.2693241e+06 -3.1623448e-02 1.8081253e+06
-7.3125000e+08 -9.0000000e+08 2.0008765e+04 3.3035849e+06 -3.0797276e-02 1.8686639e+06
-7.2187500e+08 -9.0000000e+08 2.0009012e+04 3.3461149e+06 -3.4619351e-02 1.9437886e+06
-7.1250000e+08 -9.0000000e+08 2.0009267e+04 3.3931111e+06 -3.7035688e-02 2.0264974e+06
-7.0312500e+08 -9.0000000e+08 2.0009529e+04 3.4284380e+06 -3.6723852e-02 2.0932048e+06
-6.9375000e+08 -9.0000000e+08 2.0009798e+04 3.4597099e+06 -3.9102417e-02 2.1602797e+06
-6.8437500e+08 -9.0000000e+08 2.0010074e+04 3.5030879e+06 -4.1827890e-02 2.2473585e+06
-6.7500000e+08 -9.0000000e+08 2.0010358e+04 3.5478419e+06 -4.6456375e-02 2.3390815e+06
-6.6562500e+08 -9.0000000e+08 2.0010649e+04 3.5777003e+06 -4.6191425e-02 2.4059743e+06
-6.5625000e+08 -9.0000000e+08 2.0010948e+04 3.6074466e+06 -4.7397585e-02 2.4845724e+06
-6.4687500e+08 -9.0000000e+08 2.0011254e+04 3.6530617e+06 -4.9244513e-02 2.5869796e+06
-6.3750000e+08 -9.0000000e+08 2.0011569e+04 3.6877476e+06 -5.2244507e-02 2.6779589e+06
-6.2812500e+08 -9.0000000e+08 2.0011891e+04 3.7116704e+06 -5.4115519e-02 2.7473213e+06
-6.1875000e+08 -9.0000000e+08 2.0012220e+04 3.7470213e+06 -5.5169956e-02 2.8479454e+06
-6.0937500e+08 -9.0000000e+08 2.0012558e+04 3.7906293e+06 -6.3169035e-02 2.9633464e+06
-6.0000000e+08 -9.0000000e+08 2.0012903e+04 3.8121263e+06 -6.2646010e-02 3.0364825e+06
-5.9062500e+08 -9.0000000e+08 2.0013257e+04 3.8310520e+06 -6.3495753e-02 3.1265490e+06
-5.8125000e+08 -9.0000000e+08 2.0013618e+04 3.8740421e+06 -6.5739519e-02 3.2544496e+06
-5.7187500e+08 -9.0000000e+08 2.0013987e+04 3.8939962e+06 -6.8290791e-02 3.3500618e+06
-5.6250000e+08 -9.0000000e+08 2.0014364e+04 3.9052527e+06 -7.0652797e-02 3.4272243e+06
-5.5312500e+08 -9.0000000e+08 2.0014748e+04 3.9420675e+06 -7.4048360e-02 3.5599599e+06
-5.4375000e+08 -9.0000000e+08 2.0015140e+04 3.9664400e+06 -7.5364908e-02 3.6807628e+06
-5.3437500e+08 -9.0000000e+08 2.0015539e+04 3.9733695e+06 -7.7935654e-02 3.7485467e+06
-5.2500000e+08 -9.0000000e+08 2.0015946e+04 3.9961879e+06 -8.1509052e-02 3.8821054e+06
-5.1562500e+08 -9.0000000e+08 2.0016361e+04 4.0216197e+06 -8.2330830e-02 4.0244121e+06
-5.0625000e+08 -9.0000000e+08 2.0016782e+04 4.0228821e+06 -8.4442231e-02 4.0895020e+06
-4.9687500e+08 -9.0000000e+08 2.0017210e+04 4.0325253e+06 -8.6344003e-02 4.2193725e+06
-4.8750000e+08 -9.0000000e+08 2.0017645e+04 4.0561881e+06 -9.0536839e-02 4.3823765e+06
-4.7812500e+08 -9.0000000e+08 2.0018087e+04 4.0505553e+06 -8.9688689e-02 4.4446772e+06
-4.6875000e+08 -9.0000000e+08 2.0018535e+04 4.0492158e+06 -9.2869552e-02 4.5735034e+06
-4.5937500e+08 -9.0000000e+08 2.0018989e+04 4.0690612e+06 -9.5525254e-02 4.7536686e+06
-4.5000000e+08 -9.0000000e+08 2.0019449e+04 4.0557589e+06 -9.8503844e-02 4.8076759e+06
-4.4062500e+08 -9.0000000e+08 2.0019914e+04 4.0450294e+06 -9.9405550e-02 4.9470967e+06
-4.3125000e+08 -9.0000000e+08 2.0020384e+04 4.0549430e+06 -1.0262366e-01 5.1348528e+06
-4.2187500e+08 -9.0000000e+08 2.0020859e+04 4.0324762e+06 -1.0463132e-01 5.1747535e+06
-4.1250000e+08 -9.0000000e+08 2.0021338e+04 4.0185318e+06 -1.0397480e-01 5.3372005e+06
