# plotfile = plt03436
# time = 12 s
# plane: z = 0 cm (requested 0, cell 96)
# grid: 192 x 192, dx = 9375000, dy = 9375000 cm
# fields in GAUSS (Heaviside-Lorentz state x sqrt(4 pi)); density in g/cm^3
# x y density B_x B_y B_z
-9.0000000e+08 -9.0000000e+08 2.0015823e+04 -9.0377443e-02 -9.0378347e-02 -1.7490340e+06
-8.9062500e+08 -9.0000000e+08 2.0015059e+04 -8.4712181e-02 -2.4213493e-01 -1.7595862e+06
-8.8125000e+08 -9.0000000e+08 2.0013727e+04 -8.3231913e-02 -4.4563404e-01 -1.7895846e+06
-8.7187500e+08 -9.0000000e+08 2.0012686e+04 -8.6366739e-02 -6.5031802e-01 -1.8173869e+06
-8.6250000e+08 -9.0000000e+08 2.0012333e+04 -8.4148032e-02 -8.6117135e-01 -1.8460332e+06
-8.5312500e+08 -9.0000000e+08 2.0012340e+04 -8.2037899e-02 -1.0791845e+00 -1.8755855e+06
-8.4375000e+08 -9.0000000e+08 2.0012470e+04 -7.9795201e-02 -1.3043324e+00 -1.9039561e+06
-8.3437500e+08 -9.0000000e+08 2.0012737e+04 -7.7445564e-02 -1.5387107e+00 -1.9355677e+06
-8.2500000e+08 -9.0000000e+08 2.0013076e+04 -7.5117264e-02 -1.7786816e+00 -1.9640142e+06
-8.1562500e+08 -9.0000000e+08 2.0013441e+04 -7.2604924e-02 -2.0311181e+00 -1.9971970e+06
-8.0625000e+08 -9.0000000e+08 2.0013810e+04 -7.0882670e-02 -2.2872423e+00 -2.0264835e+06
-7.9687500e+08 -9.0000000e+08 2.0014179e+04 -6.9054272e-02 -2.5613439e+00 -2.0607457e+06
-7.8750000e+08 -9.0000000e+08 2.0014550e+04 -6.6819267e-02 -2.8326164e+00 -2.0910325e+06
-7.7812500e+08 -9.0000000e+08 2.0014930e+04 -6.4262917e-02 -3.1229604e+00 -2.1260574e+06
-7.6875000e+08 -9.0000000e+08 2.0015323e+04 -6.1524059e-02 -3.4176522e+00 -2.1573971e+06
